Game_title,Team1,Score,Team2,Week,Patch,Date
WBG vs JD Gaming,Weibo Gaming,0 - 2,JD Gaming,WEEK9,12.13,2022-08-03
LGD Gaming vs TT,LGD Gaming,1 - 2,TT,WEEK9,12.13,2022-08-03
BLG vs V5,Bilibili Gaming,0 - 2,Victory Five,WEEK9,12.13,2022-08-02
Rare Atom vs IG,Rare Atom,1 - 2,Invictus Gaming,WEEK9,12.13,2022-08-02
Ultra Prime vs FPX,Funplus Phoenix,2 - 0,Ultra Prime,WEEK9,12.13,2022-08-01
AL vs RNG,Anyone s Legend,0 - 2,Royal Never Give Up,WEEK9,12.13,2022-08-01
Team WE vs LNG Esports,Team WE,0 - 2,LNG Esports,WEEK8,12.13,2022-07-31
V5 vs OMG,OMG,2 - 1,Victory Five,WEEK8,12.13,2022-07-31
RNG vs JD Gaming,Royal Never Give Up,2 - 1,JD Gaming,WEEK8,12.13,2022-07-30
Rare Atom vs EDG,Rare Atom,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-30
WBG vs LGD Gaming,Weibo Gaming,2 - 0,LGD Gaming,WEEK8,12.13,2022-07-29
Top Esports vs TT,Top Esports,2 - 0,TT,WEEK8,12.13,2022-07-29
BLG vs FPX,Bilibili Gaming,2 - 0,Funplus Phoenix,WEEK8,12.13,2022-07-28
Ultra Prime vs IG,Ultra Prime,1 - 2,Invictus Gaming,WEEK8,12.13,2022-07-28
OMG vs AL,OMG,2 - 0,Anyone s Legend,WEEK8,12.13,2022-07-27
LGD Gaming vs Team WE,LGD Gaming,2 - 1,Team WE,WEEK8,12.13,2022-07-27
JD Gaming vs V5,JD Gaming,2 - 0,Victory Five,WEEK8,12.13,2022-07-26
LNG Esports vs EDG,LNG Esports,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-26
FPX vs TT,Funplus Phoenix,1 - 2,TT,WEEK8,12.13,2022-07-25
Rare Atom vs RNG,Rare Atom,0 - 2,Royal Never Give Up,WEEK8,12.13,2022-07-25
OMG vs WBG,OMG,0 - 2,Weibo Gaming,WEEK7,12.13,2022-07-24
Top Esports vs Ultra Prime,Top Esports,2 - 0,Ultra Prime,WEEK7,12.13,2022-07-24
RNG vs EDG,Royal Never Give Up,2 - 1,Edward Gaming,WEEK7,12.13,2022-07-23
JD Gaming vs BLG,JD Gaming,2 - 1,Bilibili Gaming,WEEK7,12.13,2022-07-23
Team WE vs IG,Team WE,1 - 2,Invictus Gaming,WEEK7,12.13,2022-07-23
V5 vs LNG Esports,Victory Five,2 - 0,LNG Esports,WEEK7,12.13,2022-07-22
WBG vs TT,Weibo Gaming,2 - 1,TT,WEEK7,12.13,2022-07-22
EDG vs LGD Gaming,Edward Gaming,2 - 0,LGD Gaming,WEEK7,12.13,2022-07-21
FPX vs AL,Funplus Phoenix,2 - 1,Anyone s Legend,WEEK7,12.13,2022-07-21
BLG vs RNG,Bilibili Gaming,0 - 2,Royal Never Give Up,WEEK7,12.12,2022-07-20
Top Esports vs Rare Atom,Top Esports,2 - 0,Rare Atom,WEEK7,12.12,2022-07-20
LNG Esports vs Ultra Prime,LNG Esports,2 - 0,Ultra Prime,WEEK7,12.12,2022-07-19
TT vs OMG,TT,2 - 1,OMG,WEEK7,12.12,2022-07-19
IG vs JD Gaming,Invictus Gaming,1 - 2,JD Gaming,WEEK7,12.12,2022-07-18
Team WE vs AL,Team WE,0 - 2,Anyone s Legend,WEEK7,12.12,2022-07-18
V5 vs WBG,Victory Five,1 - 2,Weibo Gaming,WEEK6,12.12,2022-07-17
LGD Gaming vs Ultra Prime,LGD Gaming,1 - 2,Ultra Prime,WEEK6,12.12,2022-07-17
OMG vs FPX,OMG,2 - 1,Funplus Phoenix,WEEK6,12.12,2022-07-17
EDG vs Top Esports,Edward Gaming,1 - 2,Top Esports,WEEK6,12.12,2022-07-16
BLG vs Rare Atom,Bilibili Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-16
RNG vs LNG Esports,Royal Never Give Up,2 - 1,LNG Esports,WEEK6,12.12,2022-07-15
Team WE vs JD Gaming,Team WE,0 - 2,JD Gaming,WEEK6,12.12,2022-07-15
V5 vs IG,Victory Five,2 - 0,Invictus Gaming,WEEK6,12.12,2022-07-14
AL vs TT,Anyone s Legend,2 - 1,TT,WEEK6,12.12,2022-07-14
