,Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,K+A,K+A Per Minute,KP%,CS,CSM,Golds,GPM,GOLD%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,DMG/GOLD,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,WPM,VWPM,WCPM,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
0,Camille,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,1,Xiaolaohu,TOP,0,5,2,0.4,2,0.07,0.5,206,7.5,8741,317,0.2,7132.5,4763.55,403.75,1965.2,259,0.17300000000000001,0.8159821530717309,17877.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
1,Viego,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,1,Clid,JUNGLE,1,3,0,0.3,1,0.04,0.25,134,4.9,8528,310,0.196,3410.77,2843.01,192.26,375.5,124,0.083,0.39994957786116325,23399.4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
2,Taliyah,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,1,Care,MID,1,3,2,1,3,0.11,0.75,222,8.1,9532,346,0.21899999999999997,16136.57,569.65,14980.2,586.72,586,0.392,1.692883969785984,14930.3,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
3,Kalista,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,1,Lwx,ADC,2,4,0,0.5,2,0.07,0.5,248,9.0,10992,399,0.252,8673.98,8087.48,586.5,0.0,315,0.21100000000000002,0.789117540029112,14436.2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0,0,0,,,,,,,,,
4,Sett,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,1,Hang,SUPPORT,0,3,2,0.7,2,0.07,0.5,40,1.5,5814,211,0.133,5796.77,3899.84,0.0,1896.93,211,0.141,0.9970364637082904,14717.1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0,0,0,,,,,,,,,
5,Kayle,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,1,Flandre,TOP,8,1,8,16,16,0.58,0.889,276,10.0,15136,550,0.266,21250.26,8060.33,11435.9,1754.03,772,0.327,1.4039548097251584,12750.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
6,Lee Sin,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,1,Jiejie,JUNGLE,5,0,10,Perfect KDA,15,0.54,0.833,148,5.4,10710,389,0.188,8953.84,7821.04,934.3,198.5,325,0.138,0.8360261437908497,17492.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
7,Ahri,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,1,Scout,MID,2,2,6,4,8,0.29,0.444,264,9.6,11931,433,0.209,11285.9,995.68,7686.85,2603.37,410,0.174,0.9459307685860363,12631.5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
8,Tahm Kench,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,1,meiko,ADC,1,1,12,13,13,0.47,0.722,183,6.6,9680,352,0.17,7569.89,624.67,6945.22,0.0,275,0.11599999999999999,0.7820134297520661,19408.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
9,Senna,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,1,Viper,SUPPORT,2,0,11,Perfect KDA,13,0.47,0.722,53,1.9,9498,345,0.16699999999999998,15959.64,15529.5,320.14,110.0,580,0.245,1.6803158559696778,6181.64,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
10,Gwen,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,Zika,TOP,1,2,2,1.5,3,0.09,0.429,309,9.7,12846,404,0.24,6944.4,1254.8,4024.71,1664.89,218,0.14800000000000002,0.5405885100420365,19748.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
11,Wukong,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,XUN,JUNGLE,2,3,4,2,6,0.19,0.857,161,5.1,9874,311,0.184,8287.83,6368.82,1555.51,363.5,261,0.17600000000000002,0.8393589224225237,23448.4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
12,Vex,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,Yuekai,MID,3,4,2,1.3,5,0.16,0.7140000000000001,258,8.1,11424,359,0.213,12114.33,942.42,9174.31,1997.6,381,0.258,1.0604280462184874,15673.6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
13,Aphelios,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,Wink,ADC,1,5,5,1.2,6,0.19,0.857,280,8.8,12214,384,0.228,14887.66,11603.2,1265.1,2019.36,468,0.317,1.218901260848207,15796.9,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
14,Renata Glasc,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,XinLiu,SUPPORT,0,4,7,1.8,7,0.22,1.0,47,1.5,7240,228,0.135,4745.22,1239.78,3505.44,0.0,149,0.10099999999999999,0.6554171270718232,10496.9,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
15,Jayce,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,TheShy,TOP,2,1,12,14,14,0.44,0.778,275,8.7,13739,432,0.215,25607.57,22217.0,2967.04,423.53,806,0.402,1.8638598151248271,11756.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
16,Viego,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,SofM,JUNGLE,2,2,12,7,14,0.44,0.778,180,5.7,10945,344,0.171,7546.61,5992.87,872.12,681.62,237,0.11900000000000001,0.6895029693924166,25268.9,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
17,Ahri,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,Angel,MID,9,1,3,12,12,0.38,0.667,302,9.5,15509,488,0.242,13101.05,672.55,9392.23,3036.27,412,0.20600000000000002,0.8447385389128892,12086.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
18,Kalista,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,huanfeng,ADC,4,0,11,Perfect KDA,15,0.47,0.833,357,11.2,15561,490,0.243,11615.81,9740.97,1486.44,388.4,365,0.182,0.7464693785746417,11491.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
