Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,AL vs BLG,Anyone s Legend,2 - 0,Bilibili Gaming,WEEK2,12.10,2022-06-19,2,Bin,TOP,2,3,7,3,321,8.7,14887,403,22.9%,0,0,0,15851.61,14021.7,1829.91,0,429,18%,0.24,69.2%,27891.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,AL vs BLG,Anyone s Legend,2 - 0,Bilibili Gaming,WEEK2,12.10,2022-06-19,2,WeiWei,JUNGLE,5,4,2,1.8,186,5,11587,313,17.8%,0,0,0,5875.77,4863.94,746.83,265,159,6.7%,0.19,53.8%,25671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,AL vs BLG,Anyone s Legend,2 - 0,Bilibili Gaming,WEEK2,12.10,2022-06-19,2,FoFo,MID,1,3,7,2.7,300,8.1,13342,361,20.5%,0,0,0,22285.45,349.49,20850.4,1085.56,603,25.3%,0.22,61.5%,17356.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,AL vs BLG,Anyone s Legend,2 - 0,Bilibili Gaming,WEEK2,12.10,2022-06-19,2,Doggo,ADC,4,1,4,8,380,10.3,17082,462,26.3%,0,0,0,35143.56,20312.5,13159.7,1671.36,950,39.9%,0.22,61.5%,17660.8,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Bard,AL vs BLG,Anyone s Legend,2 - 0,Bilibili Gaming,WEEK2,12.10,2022-06-19,2,Crisp,SUPPORT,1,1,9,10,56,1.5,8052,218,12.4%,0,0,0,8999.65,793.02,7249.41,957.22,243,10.2%,0.27,76.9%,12237.2,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Kayle,AL vs BLG,Anyone s Legend,2 - 0,Bilibili Gaming,WEEK2,12.10,2022-06-19,2,Zdz,TOP,4,5,6,2,311,8.4,15734,425,23.7%,0,0,0,18103.88,8420.9,8078.14,1604.84,490,25.9%,0.27,83.3%,18146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nocturne,AL vs BLG,Anyone s Legend,2 - 0,Bilibili Gaming,WEEK2,12.10,2022-06-19,2,Xiaohao,JUNGLE,1,1,9,10,212,5.7,11832,320,17.8%,0,0,0,9558.21,7812.18,860.91,885.12,258,13.7%,0.27,83.3%,34578.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,AL vs BLG,Anyone s Legend,2 - 0,Bilibili Gaming,WEEK2,12.10,2022-06-19,2,Forge,MID,1,2,4,2.5,271,7.3,12176,329,18.3%,0,0,0,8492.93,410.35,7781.26,301.32,230,12.1%,0.14,41.7%,31723.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seraphine,AL vs BLG,Anyone s Legend,2 - 0,Bilibili Gaming,WEEK2,12.10,2022-06-19,2,Qiuqiu,ADC,1,3,7,2.7,278,7.5,13584,367,20.5%,0,0,0,16083.27,645.33,15107.8,330.14,435,23%,0.22,66.7%,19307.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,AL vs BLG,Anyone s Legend,2 - 0,Bilibili Gaming,WEEK2,12.10,2022-06-19,2,Betty,SUPPORT,5,2,5,5,78,2.1,13089,354,19.7%,0,0,0,17783.18,16868.5,77.59,837.09,481,25.4%,0.27,83.3%,15990.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
