Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Zdz,TOP,4,3,6,3.3,282,8.6,14458,440,25.9%,0,0,0,30186.08,21293.6,7618.2,1274.28,919,45.8%,0.3,100%,22879.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Xiaohao,JUNGLE,1,6,5,1,179,5.5,9600,292,17.2%,0,0,0,5793.8,5237.24,312.17,244.39,176,8.8%,0.18,60%,29263.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryze,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Forge,MID,1,4,4,1.3,285,8.7,11080,337,19.8%,0,0,0,12214.66,1087.46,11081.2,46,372,18.5%,0.15,50%,18808.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Betty,ADC,2,5,7,1.8,301,9.2,13500,411,24.2%,0,0,0,15169.43,9624.7,5153.69,391.04,462,23%,0.27,90%,15335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Qiuqiu,SUPPORT,2,3,5,2.3,33,1,7254,221,13%,0,0,0,2539.19,575.74,1126.53,836.92,77,3.9%,0.21,70%,18019.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayle,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,fearness,TOP,6,2,9,7.5,286,8.7,15597,475,23.7%,0,0,0,14540.65,5891.94,7489.37,1159.34,443,17.9%,0.46,71.4%,18303.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Shad0w,JUNGLE,8,1,8,16,199,6.1,13124,400,20%,0,0,0,10497.31,7879.07,1859.47,758.77,320,12.9%,0.49,76.2%,26908.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galio,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Haichao,MID,0,2,17,8.5,226,6.9,11141,339,16.9%,0,0,0,17953.23,35.33,17817.9,100,547,22.1%,0.52,81%,18554.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Assum,ADC,6,1,9,15,359,10.9,17601,536,26.8%,0,0,0,33553.79,28894,2021.99,2637.8,1022,41.2%,0.46,71.4%,13315.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,jinjiao,SUPPORT,1,4,17,4.5,32,1,8272,252,12.6%,0,0,0,4832.09,927.67,3244.42,660,147,5.9%,0.55,85.7%,14035.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
