Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,AL vs RNG,Anyone s Legend,0 - 2,Royal Never Give Up,WEEK9,12.13,2022-08-01,1,Zdz,TOP,3,6,1,0.7,223,7.7,9997,345,22.5%,0,0,0,11969.13,1797.93,6906.69,3264.51,413,24.5%,0.14,57.1%,27245.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,AL vs RNG,Anyone s Legend,0 - 2,Royal Never Give Up,WEEK9,12.13,2022-08-01,1,Xiaohao,JUNGLE,2,4,3,1.3,154,5.3,8897,307,20%,0,0,0,8262.71,6893.08,427.71,941.92,285,16.9%,0.17,71.4%,25290.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,AL vs RNG,Anyone s Legend,0 - 2,Royal Never Give Up,WEEK9,12.13,2022-08-01,1,Forge,MID,0,6,4,0.7,232,8,9484,327,21.3%,0,0,0,9409.68,1873.55,7536.13,0,324,19.2%,0.14,57.1%,23504.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sivir,AL vs RNG,Anyone s Legend,0 - 2,Royal Never Give Up,WEEK9,12.13,2022-08-01,1,Betty,ADC,2,5,2,0.8,235,8.1,10400,359,23.4%,0,0,0,13198.17,12188.9,0,1009.27,455,27%,0.14,57.1%,18325.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuumi,AL vs RNG,Anyone s Legend,0 - 2,Royal Never Give Up,WEEK9,12.13,2022-08-01,1,Qiuqiu,SUPPORT,0,5,6,1.2,2,0.1,5646,195,12.7%,0,0,0,6076.65,822.78,5253.87,0,210,12.4%,0.21,85.7%,10236.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,AL vs RNG,Anyone s Legend,0 - 2,Royal Never Give Up,WEEK9,12.13,2022-08-01,1,Breathe,TOP,3,3,8,3.7,261,9,12350,426,20.5%,0,0,0,19015.09,16308.1,2420.99,286,656,22.5%,0.38,42.3%,22078.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vi,AL vs RNG,Anyone s Legend,0 - 2,Royal Never Give Up,WEEK9,12.13,2022-08-01,1,Wei,JUNGLE,8,0,14,Perfect KDA,166,5.7,12383,427,20.6%,0,0,0,11820.98,10299.1,1235.38,286.5,408,14%,0.76,84.6%,20822.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,AL vs RNG,Anyone s Legend,0 - 2,Royal Never Give Up,WEEK9,12.13,2022-08-01,1,xiaohu,MID,11,1,11,22,267,9.2,14297,493,23.8%,0,0,0,30449.48,646.08,29231.4,572,1050,36%,0.76,84.6%,14064.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kog,AL vs RNG,Anyone s Legend,0 - 2,Royal Never Give Up,WEEK9,12.13,2022-08-01,1,GALA,ADC,4,2,9,6.5,255,8.8,13101,452,21.8%,0,0,0,19432.62,8739.72,10187.9,505,670,23%,0.45,50%,13173.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,AL vs RNG,Anyone s Legend,0 - 2,Royal Never Give Up,WEEK9,12.13,2022-08-01,1,Ming,SUPPORT,0,1,24,24,13,0.4,7975,275,13.3%,0,0,0,3929.11,1089.33,2127.78,712,135,4.6%,0.83,92.3%,8965.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
