Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Kayle,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.10,2022-06-11,1,Zdz,TOP,4,0,5,Perfect KDA,283,9.6,14249,483,25.5%,0,0,0,17857.49,4082.71,12490.4,1284.38,605,30.2%,0.3,60%,13830.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.10,2022-06-11,1,Xiaohao,JUNGLE,1,3,9,3.3,161,5.5,9932,336,17.7%,0,0,0,4536.34,3401.78,923.06,211.5,154,7.7%,0.34,66.7%,24306.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.10,2022-06-11,1,Forge,MID,2,2,9,5.5,227,7.7,10907,370,19.5%,0,0,0,14346.87,844.17,13502.7,0,486,24.2%,0.37,73.3%,18513.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.10,2022-06-11,1,Betty,ADC,7,2,2,4.5,255,8.6,12896,437,23%,0,0,0,16077.53,10231.6,5624.56,221.37,545,27.2%,0.3,60%,11717.1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Nami,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.10,2022-06-11,1,Qiuqiu,SUPPORT,1,2,11,6,8,0.3,7979,270,14.3%,0,0,0,6367.89,866.55,4529.54,971.8,216,10.8%,0.41,80%,8934.89,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Gwen,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.10,2022-06-11,1,Cube,TOP,1,1,3,4,306,10.4,12119,411,23.9%,0,0,0,11235.71,1723.06,7493.41,2019.24,381,22%,0.14,44.4%,17352.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nocturne,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.10,2022-06-11,1,Leyan,JUNGLE,3,4,3,1.5,185,6.3,9931,336,19.6%,0,0,0,8549.83,7722.78,517.05,310,290,16.7%,0.2,66.7%,25696.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.10,2022-06-11,1,Strive,MID,2,2,5,3.5,277,9.4,11278,382,22.2%,0,0,0,11765.64,956.38,7681.24,3128.02,399,23%,0.24,77.8%,11215.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.10,2022-06-11,1,yuyanjia,ADC,3,4,4,1.8,172,5.8,9397,318,18.5%,0,0,0,6507.53,745.91,5761.62,0,220,12.7%,0.24,77.8%,19326.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.10,2022-06-11,1,iBOY,SUPPORT,0,4,7,1.8,55,1.9,7973,270,15.7%,0,0,0,13096.02,12665.4,0,430.62,444,25.6%,0.24,77.8%,12017.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
