Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gragas,AL vs TT,Anyone s Legend,2 - 1,TT,WEEK6,12.12,2022-07-14,2,Hoya,TOP,4,3,9,4.3,259,7.5,13802,398,20.5%,0,0,0,23617.42,1431.84,20343,1842.58,680,28.3%,0.37,72.2%,22668.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,AL vs TT,Anyone s Legend,2 - 1,TT,WEEK6,12.12,2022-07-14,2,Beichuan,JUNGLE,2,6,11,2.2,192,5.5,11666,336,17.3%,0,0,0,14855.02,13137.1,443.18,1274.74,428,17.8%,0.37,72.2%,34594.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,AL vs TT,Anyone s Legend,2 - 1,TT,WEEK6,12.12,2022-07-14,2,Ucal,MID,5,3,10,5,279,8,15687,452,23.3%,0,0,0,19234.94,148.9,17492.6,1593.44,554,23.1%,0.43,83.3%,19965.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,AL vs TT,Anyone s Legend,2 - 1,TT,WEEK6,12.12,2022-07-14,2,Kepler,ADC,5,3,9,4.7,341,9.8,17079,492,25.3%,0,0,0,18347.01,15719.9,1379.42,1247.69,528,22%,0.4,77.8%,13227,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Amumu,AL vs TT,Anyone s Legend,2 - 1,TT,WEEK6,12.12,2022-07-14,2,yaoyao,SUPPORT,2,5,12,2.8,33,1,9211,265,13.7%,0,0,0,7262.21,521.62,5165.94,1574.65,209,8.7%,0.4,77.8%,14496.3,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Aatrox,AL vs TT,Anyone s Legend,2 - 1,TT,WEEK6,12.12,2022-07-14,2,Zdz,TOP,2,4,8,2.5,326,9.4,15010,432,23.3%,0,0,0,14661.5,14661.5,0,0,422,19.9%,0.29,50%,26385.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,AL vs TT,Anyone s Legend,2 - 1,TT,WEEK6,12.12,2022-07-14,2,Xiaohao,JUNGLE,10,4,10,5,213,6.1,14076,405,21.8%,0,0,0,16509.77,13705.4,1947.37,857,476,22.4%,0.58,100%,30471.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akali,AL vs TT,Anyone s Legend,2 - 1,TT,WEEK6,12.12,2022-07-14,2,Forge,MID,5,2,5,5,310,8.9,13852,399,21.5%,0,0,0,19592.11,1063.31,18528.8,0,564,26.6%,0.29,50%,19845.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,AL vs TT,Anyone s Legend,2 - 1,TT,WEEK6,12.12,2022-07-14,2,Qiuqiu,ADC,2,5,15,3.4,179,5.2,10801,311,16.7%,0,0,0,8254.54,469.93,6934.13,850.48,238,11.2%,0.49,85%,23200.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,AL vs TT,Anyone s Legend,2 - 1,TT,WEEK6,12.12,2022-07-14,2,Betty,SUPPORT,1,3,16,5.7,101,2.9,10791,311,16.7%,0,0,0,14589.2,14415.2,0,174,420,19.8%,0.49,85%,14445.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
