Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,AL vs Ultra Prime,Anyone s Legend,2 - 0,Ultra Prime,WEEK5,12.12,2022-07-09,2,Zoom,TOP,1,2,1,1,305,8.4,12468,345,20.8%,0,0,0,20911.88,17587.2,3324.68,0,578,26.5%,0.06,20%,24593.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,AL vs Ultra Prime,Anyone s Legend,2 - 0,Ultra Prime,WEEK5,12.12,2022-07-09,2,H4cker,JUNGLE,2,4,3,1.3,213,5.9,11419,316,19%,0,0,0,7309.46,5768.8,1034.16,506.5,202,9.3%,0.14,50%,28012.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,AL vs Ultra Prime,Anyone s Legend,2 - 0,Ultra Prime,WEEK5,12.12,2022-07-09,2,Cryin,MID,3,4,3,1.5,277,7.7,12522,346,20.9%,0,0,0,21171.24,1086.44,19884.8,200,585,26.8%,0.17,60%,23759.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xayah,AL vs Ultra Prime,Anyone s Legend,2 - 0,Ultra Prime,WEEK5,12.12,2022-07-09,2,Elk,ADC,3,1,4,7,376,10.4,16140,446,26.9%,0,0,0,25115.1,23183.2,1637.9,294,694,31.8%,0.19,70%,14989.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,AL vs Ultra Prime,Anyone s Legend,2 - 0,Ultra Prime,WEEK5,12.12,2022-07-09,2,ShiauC,SUPPORT,1,5,4,1,40,1.1,7428,205,12.4%,0,0,0,4462.26,720.73,3039.53,702,123,5.7%,0.14,50%,16176.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jax,AL vs Ultra Prime,Anyone s Legend,2 - 0,Ultra Prime,WEEK5,12.12,2022-07-09,2,Zdz,TOP,5,1,3,8,343,9.5,16409,454,24.2%,0,0,0,16533.63,12689.5,3844.13,0,457,20.2%,0.22,50%,25978.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana,AL vs Ultra Prime,Anyone s Legend,2 - 0,Ultra Prime,WEEK5,12.12,2022-07-09,2,Xiaohao,JUNGLE,0,2,10,5,247,6.8,12135,336,17.9%,0,0,0,11703.69,1092.79,10206.9,404,324,14.3%,0.28,62.5%,18007.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,AL vs Ultra Prime,Anyone s Legend,2 - 0,Ultra Prime,WEEK5,12.12,2022-07-09,2,Forge,MID,3,0,8,Perfect KDA,289,8,13841,383,20.4%,0,0,0,22051.34,2008.64,20042.7,0,610,27%,0.3,68.8%,26342.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,AL vs Ultra Prime,Anyone s Legend,2 - 0,Ultra Prime,WEEK5,12.12,2022-07-09,2,Betty,ADC,7,4,3,2.5,324,9,16319,451,24%,0,0,0,24638.47,15387.9,8263.46,987.11,681,30.1%,0.28,62.5%,22949.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,AL vs Ultra Prime,Anyone s Legend,2 - 0,Ultra Prime,WEEK5,12.12,2022-07-09,2,Qiuqiu,SUPPORT,1,3,13,4.7,24,0.7,9204,254,13.6%,0,0,0,6798.21,700.05,4368.34,1729.82,188,8.3%,0.39,87.5%,11319.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
