Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,AL vs V5,Anyone s Legend,1 - 2,Victory Five,WEEK4,12.11,2022-07-01,2,Rich,TOP,3,1,6,9,256,9.3,13272,480,22.7%,0,0,0,19456.01,16633.1,2822.91,0,704,23.2%,0.33,47.4%,16445.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,AL vs V5,Anyone s Legend,1 - 2,Victory Five,WEEK4,12.11,2022-07-01,2,Karsa,JUNGLE,4,3,6,3.3,173,6.3,10959,396,18.7%,0,0,0,12730.59,10179.7,1760.39,790.5,460,15.2%,0.36,52.6%,27861.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akali,AL vs V5,Anyone s Legend,1 - 2,Victory Five,WEEK4,12.11,2022-07-01,2,Dream,MID,3,0,10,Perfect KDA,225,8.1,12365,447,21.1%,0,0,0,21372.81,1144.6,19352.7,875.51,773,25.5%,0.47,68.4%,15295.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,AL vs V5,Anyone s Legend,1 - 2,Victory Five,WEEK4,12.11,2022-07-01,2,Photic,ADC,9,1,4,13,283,10.2,14736,533,25.2%,0,0,0,24020.93,17471.1,4030.77,2519.06,869,28.6%,0.47,68.4%,15982.4,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Renata Glasc,AL vs V5,Anyone s Legend,1 - 2,Victory Five,WEEK4,12.11,2022-07-01,2,Ppgod,SUPPORT,0,2,14,7,10,0.4,7236,262,12.4%,0,0,0,6323.01,1175.65,3835.93,1311.43,229,7.5%,0.51,73.7%,11664.2,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Kayle,AL vs V5,Anyone s Legend,1 - 2,Victory Five,WEEK4,12.11,2022-07-01,2,Zdz,TOP,1,6,6,1.2,234,8.5,9890,358,22.2%,0,0,0,12525.57,5629.69,6895.88,0,453,22.9%,0.25,100%,19473.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,AL vs V5,Anyone s Legend,1 - 2,Victory Five,WEEK4,12.11,2022-07-01,2,Xiaohao,JUNGLE,2,2,4,3,151,5.5,8483,307,19.1%,0,0,0,8131.54,7089.58,359.46,682.5,294,14.9%,0.22,85.7%,27374.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,AL vs V5,Anyone s Legend,1 - 2,Victory Five,WEEK4,12.11,2022-07-01,2,Forge,MID,3,5,3,1.2,232,8.4,10725,388,24.1%,0,0,0,16101.05,256.82,15340.6,503.63,582,29.4%,0.22,85.7%,25069.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,AL vs V5,Anyone s Legend,1 - 2,Victory Five,WEEK4,12.11,2022-07-01,2,Qiuqiu,ADC,1,3,5,2,175,6.3,8291,300,18.6%,0,0,0,6764,279.75,6154.32,329.93,245,12.4%,0.22,85.7%,22381.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,AL vs V5,Anyone s Legend,1 - 2,Victory Five,WEEK4,12.11,2022-07-01,2,Betty,SUPPORT,0,3,7,2.3,48,1.7,7133,258,16%,0,0,0,11221.6,11221.6,0,0,406,20.5%,0.25,100%,12903.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
