Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Jax,BLG vs FPX,Bilibili Gaming,2 - 0,Funplus Phoenix,WEEK8,12.13,2022-07-28,2,Bin,TOP,7,0,5,Perfect KDA,283,10.1,15143,539,25.6%,0,0,0,13530.83,9233.68,4297.15,0,482,23.7%,0.43,60%,18173.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle,BLG vs FPX,Bilibili Gaming,2 - 0,Funplus Phoenix,WEEK8,12.13,2022-07-28,2,WeiWei,JUNGLE,5,4,13,4.5,132,4.7,11427,407,19.3%,0,0,0,10134.4,7615.7,1598.7,920,361,17.7%,0.64,90%,27537.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,BLG vs FPX,Bilibili Gaming,2 - 0,Funplus Phoenix,WEEK8,12.13,2022-07-28,2,icon,MID,2,2,10,6,253,9,11478,409,19.4%,0,0,0,12528.41,1173.21,11275.2,80,446,21.9%,0.43,60%,20324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,BLG vs FPX,Bilibili Gaming,2 - 0,Funplus Phoenix,WEEK8,12.13,2022-07-28,2,Doggo,ADC,6,1,7,13,290,10.3,14000,499,23.7%,0,0,0,16979.55,9702.75,6474.8,802,605,29.7%,0.46,65%,15398.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,BLG vs FPX,Bilibili Gaming,2 - 0,Funplus Phoenix,WEEK8,12.13,2022-07-28,2,Crisp,SUPPORT,0,4,15,3.8,13,0.5,7102,253,12%,0,0,0,4008.32,720.48,2625.84,662,143,7%,0.53,75%,9427.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,BLG vs FPX,Bilibili Gaming,2 - 0,Funplus Phoenix,WEEK8,12.13,2022-07-28,2,Summit,TOP,0,6,1,0.2,206,7.3,8548,304,18.4%,0,0,0,12514.1,10135.6,2378.5,0,446,20.4%,0.04,9.1%,18782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,BLG vs FPX,Bilibili Gaming,2 - 0,Funplus Phoenix,WEEK8,12.13,2022-07-28,2,Clid,JUNGLE,1,5,4,1,118,4.2,7461,266,16.1%,0,0,0,7953.51,6479.44,721.96,752.11,283,13%,0.18,45.5%,22523.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akali,BLG vs FPX,Bilibili Gaming,2 - 0,Funplus Phoenix,WEEK8,12.13,2022-07-28,2,Care,MID,6,3,3,3,217,7.7,10553,376,22.8%,0,0,0,15736.68,1039.9,13644.3,1052.48,560,25.6%,0.32,81.8%,16592.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sivir,BLG vs FPX,Bilibili Gaming,2 - 0,Funplus Phoenix,WEEK8,12.13,2022-07-28,2,Lwx,ADC,2,4,7,2.3,298,10.6,12555,447,27.1%,0,0,0,16520.29,14800.4,0,1719.89,588,26.9%,0.32,81.8%,11598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuumi,BLG vs FPX,Bilibili Gaming,2 - 0,Funplus Phoenix,WEEK8,12.13,2022-07-28,2,Hang,SUPPORT,2,2,7,4.5,13,0.5,7216,257,15.6%,0,0,0,8631.11,1018.14,6736.97,876,307,14.1%,0.32,81.8%,5815.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
