Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Camille,BLG vs IG,Bilibili Gaming,2 - 1,Invictus Gaming,WEEK4,12.11,2022-06-30,2,Zika,TOP,5,3,10,5,216,7.1,12541,415,21.5%,0,0,0,13526.69,9783.83,802.93,2939.93,447,20.7%,0.5,68.2%,22058.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,BLG vs IG,Bilibili Gaming,2 - 1,Invictus Gaming,WEEK4,12.11,2022-06-30,2,XUN,JUNGLE,4,0,15,Perfect KDA,162,5.4,10810,358,18.6%,0,0,0,11195.17,8317.82,2529.85,347.5,370,17.1%,0.63,86.4%,26256.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galio,BLG vs IG,Bilibili Gaming,2 - 1,Invictus Gaming,WEEK4,12.11,2022-06-30,2,Yuekai,MID,3,0,12,Perfect KDA,232,7.7,11654,385,20%,0,0,0,12223.91,120.51,12103.4,0,404,18.7%,0.5,68.2%,15663.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,BLG vs IG,Bilibili Gaming,2 - 1,Invictus Gaming,WEEK4,12.11,2022-06-30,2,Ahn,ADC,8,1,11,19,295,9.8,15101,499,25.9%,0,0,0,22548.96,19316.2,1758.18,1474.58,746,34.4%,0.63,86.4%,13658.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,BLG vs IG,Bilibili Gaming,2 - 1,Invictus Gaming,WEEK4,12.11,2022-06-30,2,Wink,SUPPORT,2,1,17,19,37,1.2,8098,268,13.9%,0,0,0,5992,761.89,4358.11,872,198,9.1%,0.63,86.4%,10633.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jax,BLG vs IG,Bilibili Gaming,2 - 1,Invictus Gaming,WEEK4,12.11,2022-06-30,2,Bin,TOP,5,5,0,1,260,8.6,12815,424,26.8%,0,0,0,16685.08,12934.5,3750.58,0,552,29.9%,0.17,100%,23363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,BLG vs IG,Bilibili Gaming,2 - 1,Invictus Gaming,WEEK4,12.11,2022-06-30,2,WeiWei,JUNGLE,0,5,3,0.6,173,5.7,9524,315,19.9%,0,0,0,5319.53,4539.75,166.72,613.06,176,9.5%,0.1,60%,24787.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,BLG vs IG,Bilibili Gaming,2 - 1,Invictus Gaming,WEEK4,12.11,2022-06-30,2,icon,MID,0,4,3,0.8,250,8.3,9577,317,20%,0,0,0,23114.28,2001.78,14142.1,6970.4,765,41.4%,0.1,60%,16206.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,BLG vs IG,Bilibili Gaming,2 - 1,Invictus Gaming,WEEK4,12.11,2022-06-30,2,Doggo,ADC,0,3,2,0.7,243,8,10087,334,21.1%,0,0,0,7870.13,7235.19,634.94,0,260,14.1%,0.07,40%,13451.5,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Nautilus,BLG vs IG,Bilibili Gaming,2 - 1,Invictus Gaming,WEEK4,12.11,2022-06-30,2,Crisp,SUPPORT,0,5,2,0.4,35,1.2,5811,192,12.2%,0,0,0,2835.64,517.74,1784.73,533.17,94,5.1%,0.07,40%,13661.4,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
