Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sejuani,BLG vs RNG,Bilibili Gaming,0 - 2,Royal Never Give Up,WEEK7,12.12,2022-07-20,2,Breathe,TOP,2,1,7,9,233,8.1,12158,423,22.7%,0,0,0,11171.28,6011.48,4269.8,890,388,16.9%,0.31,69.2%,20387.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,BLG vs RNG,Bilibili Gaming,0 - 2,Royal Never Give Up,WEEK7,12.12,2022-07-20,2,Wei,JUNGLE,1,2,6,3.5,133,4.6,8510,296,15.9%,0,0,0,6576.53,4472.39,1315.64,788.5,229,10%,0.24,53.8%,21134.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,BLG vs RNG,Bilibili Gaming,0 - 2,Royal Never Give Up,WEEK7,12.12,2022-07-20,2,xiaohu,MID,3,1,9,12,275,9.6,12437,432,23.3%,0,0,0,24951.87,1038.77,23913.1,0,867,37.8%,0.42,92.3%,11202.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,BLG vs RNG,Bilibili Gaming,0 - 2,Royal Never Give Up,WEEK7,12.12,2022-07-20,2,GALA,ADC,5,0,4,Perfect KDA,278,9.7,13127,456,24.6%,0,0,0,18280.09,16406.8,1404.87,468.42,635,27.7%,0.31,69.2%,7818.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,BLG vs RNG,Bilibili Gaming,0 - 2,Royal Never Give Up,WEEK7,12.12,2022-07-20,2,Ming,SUPPORT,2,2,5,3.5,30,1,7216,251,13.5%,0,0,0,5023.28,607.63,3895.67,519.98,175,7.6%,0.24,53.8%,15556.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank,BLG vs RNG,Bilibili Gaming,0 - 2,Royal Never Give Up,WEEK7,12.12,2022-07-20,2,Bin,TOP,1,4,0,0.3,303,10.5,14219,494,28.2%,0,0,0,15659.49,9106.89,5455.6,1097,544,29%,0.03,16.7%,18903.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,BLG vs RNG,Bilibili Gaming,0 - 2,Royal Never Give Up,WEEK7,12.12,2022-07-20,2,can,JUNGLE,0,3,5,1.7,128,4.4,7839,273,15.6%,0,0,0,5296.54,4259.88,748.66,288,184,9.8%,0.17,83.3%,25747.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,BLG vs RNG,Bilibili Gaming,0 - 2,Royal Never Give Up,WEEK7,12.12,2022-07-20,2,icon,MID,1,1,2,3,248,8.6,10269,357,20.4%,0,0,0,12965.94,893.6,8050.62,4021.72,451,24%,0.1,50%,14578.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,BLG vs RNG,Bilibili Gaming,0 - 2,Royal Never Give Up,WEEK7,12.12,2022-07-20,2,Rise,ADC,3,2,1,2,261,9.1,11858,412,23.5%,0,0,0,15473.7,13125,752.22,1596.48,538,28.7%,0.14,66.7%,12586.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,BLG vs RNG,Bilibili Gaming,0 - 2,Royal Never Give Up,WEEK7,12.12,2022-07-20,2,Crisp,SUPPORT,1,3,4,1.7,28,1,6199,215,12.3%,0,0,0,4584.61,328,3764.61,492,159,8.5%,0.17,83.3%,14722.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
