Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,BLG vs Rare Atom,Bilibili Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-16,3,Bin,TOP,6,1,7,13,319,8.4,15988,422,22.9%,0,0,0,21721.65,17281.8,3048.96,1390.89,574,24.8%,0.34,92.9%,29097.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,BLG vs Rare Atom,Bilibili Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-16,3,can,JUNGLE,1,3,7,2.7,177,4.7,10867,287,15.6%,0,0,0,10295.53,6320.27,1706.76,2268.5,272,11.7%,0.21,57.1%,28362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,BLG vs Rare Atom,Bilibili Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-16,3,icon,MID,3,3,7,3.3,328,8.7,17345,458,24.9%,0,0,0,26157.5,406.02,20982.1,4769.38,691,29.8%,0.26,71.4%,26487.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,BLG vs Rare Atom,Bilibili Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-16,3,Rise,ADC,4,3,3,2.3,392,10.4,16931,447,24.3%,0,0,0,24950.43,22025,1999.23,926.2,659,28.4%,0.18,50%,11625.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,BLG vs Rare Atom,Bilibili Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-16,3,Crisp,SUPPORT,0,1,9,9,19,0.5,8629,228,12.4%,0,0,0,4586.97,701.9,3371.59,513.48,121,5.2%,0.24,64.3%,11933.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,BLG vs Rare Atom,Bilibili Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-16,3,Cube,TOP,2,4,3,1.3,264,7,13790,364,21.3%,0,0,0,15262.15,2235.44,12803.2,223.51,403,19.7%,0.13,45.5%,26875.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,BLG vs Rare Atom,Bilibili Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-16,3,Leyan,JUNGLE,4,3,5,3,171,4.5,12060,318,18.7%,0,0,0,12567.52,10664.9,1104.55,798.07,332,16.2%,0.24,81.8%,32514.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,BLG vs Rare Atom,Bilibili Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-16,3,Strive,MID,1,2,7,4,285,7.5,14104,372,21.8%,0,0,0,16964.49,653.39,16186.1,125,448,21.9%,0.21,72.7%,15857.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,BLG vs Rare Atom,Bilibili Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-16,3,iBOY,ADC,3,2,7,5,311,8.2,15421,407,23.9%,0,0,0,28338.17,24219.9,1512.5,2605.77,748,36.5%,0.26,90.9%,20446.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,BLG vs Rare Atom,Bilibili Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-16,3,yuyanjia,SUPPORT,1,3,9,3.3,44,1.2,9248,244,14.3%,0,0,0,4415.86,524.11,3269.75,622,117,5.7%,0.26,90.9%,16381.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
