Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,BLG vs V5,Bilibili Gaming,0 - 2,Victory Five,WEEK9,12.13,2022-08-02,1,Bin,TOP,2,7,2,0.6,235,7.5,11136,356,21.4%,0,0,0,17224.4,13761.1,3351.3,112,551,26%,0.13,36.4%,25163.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,BLG vs V5,Bilibili Gaming,0 - 2,Victory Five,WEEK9,12.13,2022-08-02,1,WeiWei,JUNGLE,3,6,4,1.2,162,5.2,10448,334,20%,0,0,0,9318.41,6399.37,2308.04,611,298,14.1%,0.22,63.6%,24329.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,BLG vs V5,Bilibili Gaming,0 - 2,Victory Five,WEEK9,12.13,2022-08-02,1,icon,MID,2,4,5,1.8,254,8.1,11251,360,21.6%,0,0,0,17432.19,1340.19,12558.4,3533.6,558,26.3%,0.22,63.6%,19419.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,BLG vs V5,Bilibili Gaming,0 - 2,Victory Five,WEEK9,12.13,2022-08-02,1,Doggo,ADC,2,3,6,2.7,267,8.5,11743,376,22.5%,0,0,0,18594.27,16677.1,1737.17,180,595,28.1%,0.26,72.7%,15588.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,BLG vs V5,Bilibili Gaming,0 - 2,Victory Five,WEEK9,12.13,2022-08-02,1,Crisp,SUPPORT,2,3,8,3.3,23,0.7,7546,241,14.5%,0,0,0,3697.91,698.24,2975.67,24,118,5.6%,0.32,90.9%,9551.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,BLG vs V5,Bilibili Gaming,0 - 2,Victory Five,WEEK9,12.13,2022-08-02,1,Rich,TOP,5,2,8,6.5,214,6.8,13261,424,22.3%,0,0,0,18240.37,1879.87,16360.5,0,584,24.6%,0.42,56.5%,24772.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,BLG vs V5,Bilibili Gaming,0 - 2,Victory Five,WEEK9,12.13,2022-08-02,1,XLB,JUNGLE,3,2,13,8,166,5.3,11301,362,19%,0,0,0,14804.56,11707.5,2537.06,560,474,20%,0.51,69.6%,37592.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,BLG vs V5,Bilibili Gaming,0 - 2,Victory Five,WEEK9,12.13,2022-08-02,1,RooKie,MID,5,2,12,8.5,203,6.5,11659,373,19.6%,0,0,0,13697.35,1226.45,12248.9,222,438,18.5%,0.54,73.9%,14439.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,BLG vs V5,Bilibili Gaming,0 - 2,Victory Five,WEEK9,12.13,2022-08-02,1,Photic,ADC,8,2,6,7,282,9,14329,459,24.1%,0,0,0,20854.35,13650.3,6868.05,336,667,28.2%,0.45,60.9%,16729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,BLG vs V5,Bilibili Gaming,0 - 2,Victory Five,WEEK9,12.13,2022-08-02,1,Ppgod,SUPPORT,2,3,18,6.7,14,0.4,8929,286,15%,0,0,0,6441.62,705.7,4805.45,930.47,206,8.7%,0.64,87%,9105.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
