Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,BLG vs WBG,Bilibili Gaming,1 - 2,Weibo Gaming,WEEK5,12.12,2022-07-09,1,Bin,TOP,0,4,7,1.8,314,8.4,14819,398,21.8%,0,0,0,28874.39,22208,6306.39,360,776,31.9%,0.19,63.6%,34031.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,BLG vs WBG,Bilibili Gaming,1 - 2,Weibo Gaming,WEEK5,12.12,2022-07-09,1,can,JUNGLE,4,0,6,Perfect KDA,179,4.8,11521,310,17%,0,0,0,9974.22,8537.89,902.33,534,268,11%,0.27,90.9%,31284.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,BLG vs WBG,Bilibili Gaming,1 - 2,Weibo Gaming,WEEK5,12.12,2022-07-09,1,FoFo,MID,3,0,7,Perfect KDA,339,9.1,16640,447,24.5%,0,0,0,29823.64,4662.4,23353.5,1807.74,802,32.9%,0.27,90.9%,13916.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,BLG vs WBG,Bilibili Gaming,1 - 2,Weibo Gaming,WEEK5,12.12,2022-07-09,1,Doggo,ADC,4,0,4,Perfect KDA,369,9.9,16801,452,24.8%,0,0,0,17906.26,14755.1,2972.26,178.9,481,19.8%,0.22,72.7%,16795.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amumu,BLG vs WBG,Bilibili Gaming,1 - 2,Weibo Gaming,WEEK5,12.12,2022-07-09,1,Crisp,SUPPORT,0,3,7,2.3,45,1.2,8067,217,11.9%,0,0,0,4052.54,498.86,2451.45,1102.23,109,4.5%,0.19,63.6%,18082.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sejuani,BLG vs WBG,Bilibili Gaming,1 - 2,Weibo Gaming,WEEK5,12.12,2022-07-09,1,TheShy,TOP,2,3,3,1.7,312,8.4,13829,372,21.4%,0,0,0,17832.05,8935.76,7160.29,1736,479,22.4%,0.13,71.4%,33391.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,BLG vs WBG,Bilibili Gaming,1 - 2,Weibo Gaming,WEEK5,12.12,2022-07-09,1,SofM,JUNGLE,2,1,0,2,223,6,11565,311,17.9%,0,0,0,9701.64,8189.09,922.05,590.5,261,12.2%,0.05,28.6%,32369.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,BLG vs WBG,Bilibili Gaming,1 - 2,Weibo Gaming,WEEK5,12.12,2022-07-09,1,Angel,MID,0,2,4,2,371,10,14383,387,22.3%,0,0,0,30672.87,137.17,30535.7,0,825,38.5%,0.11,57.1%,17005.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,BLG vs WBG,Bilibili Gaming,1 - 2,Weibo Gaming,WEEK5,12.12,2022-07-09,1,huanfeng,ADC,3,2,1,2,372,10,16117,433,25%,0,0,0,14840.96,13069.2,1079.14,692.62,399,18.6%,0.11,57.1%,13068.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakan,BLG vs WBG,Bilibili Gaming,1 - 2,Weibo Gaming,WEEK5,12.12,2022-07-09,1,ON,SUPPORT,0,3,3,1,68,1.8,8627,232,13.4%,0,0,0,6655.42,709.96,5149.46,796,179,8.4%,0.08,42.9%,20838.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
