Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,EDG vs BLG,Edward Gaming,2 - 1,Bilibili Gaming,WEEK3,12.11,2022-06-26,1,Flandre,TOP,2,2,10,6,215,8.4,11734,460,21.5%,0,0,0,14460.24,9664.22,3554.8,1241.22,567,17.6%,0.47,50%,14917.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,EDG vs BLG,Edward Gaming,2 - 1,Bilibili Gaming,WEEK3,12.11,2022-06-26,1,Jiejie,JUNGLE,8,1,7,15,164,6.4,11091,435,20.4%,0,0,0,13826.09,12031.7,997.63,796.76,542,16.8%,0.59,62.5%,22224.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,EDG vs BLG,Edward Gaming,2 - 1,Bilibili Gaming,WEEK3,12.11,2022-06-26,1,Scout,MID,10,1,10,20,222,8.7,13193,517,24.2%,0,0,0,31894.38,1488.68,30273,132.7,1251,38.7%,0.78,83.3%,15794.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,EDG vs BLG,Edward Gaming,2 - 1,Bilibili Gaming,WEEK3,12.11,2022-06-26,1,Viper,ADC,2,3,11,4.3,204,8,10768,422,19.8%,0,0,0,16400.39,14564.8,1253.24,582.35,643,19.9%,0.51,54.2%,7354.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,EDG vs BLG,Edward Gaming,2 - 1,Bilibili Gaming,WEEK3,12.11,2022-06-26,1,meiko,SUPPORT,2,2,13,7.5,33,1.3,7692,302,14.1%,0,0,0,5800.57,1326.58,3723.55,750.44,227,7%,0.59,62.5%,8025.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,EDG vs BLG,Edward Gaming,2 - 1,Bilibili Gaming,WEEK3,12.11,2022-06-26,1,Bin,TOP,0,5,4,0.8,201,7.9,8284,325,19.8%,0,0,0,8576.98,6300.57,1215.4,1061.01,336,19%,0.16,44.4%,21676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graves,EDG vs BLG,Edward Gaming,2 - 1,Bilibili Gaming,WEEK3,12.11,2022-06-26,1,WeiWei,JUNGLE,2,5,4,1.2,134,5.3,8970,352,21.5%,0,0,0,10375.85,7575.19,592.6,2208.06,407,23%,0.24,66.7%,23560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,EDG vs BLG,Edward Gaming,2 - 1,Bilibili Gaming,WEEK3,12.11,2022-06-26,1,icon,MID,3,4,4,1.8,179,7,8430,331,20.2%,0,0,0,11367.77,793.32,6933.69,3640.76,446,25.2%,0.27,77.8%,23022.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,EDG vs BLG,Edward Gaming,2 - 1,Bilibili Gaming,WEEK3,12.11,2022-06-26,1,Doggo,ADC,2,4,3,1.3,209,8.2,9436,370,22.6%,0,0,0,10164.59,6755.37,966.51,2442.71,399,22.5%,0.2,55.6%,17399.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,EDG vs BLG,Edward Gaming,2 - 1,Bilibili Gaming,WEEK3,12.11,2022-06-26,1,Crisp,SUPPORT,2,6,6,1.3,14,0.5,6661,261,15.9%,0,0,0,4640.55,727.61,2785.28,1127.66,182,10.3%,0.31,88.9%,15196.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
