Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Camille,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.10,2022-06-10,1,Xiaolaohu,TOP,0,5,2,0.4,206,7.5,8741,317,20%,0,0,0,7132.5,4763.55,403.75,1965.2,259,17.3%,0.07,50%,17877.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.10,2022-06-10,1,Clid,JUNGLE,1,3,0,0.3,134,4.9,8528,310,19.6%,0,0,0,3410.77,2843.01,192.26,375.5,124,8.3%,0.04,25%,23399.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.10,2022-06-10,1,Care,MID,1,3,2,1,222,8.1,9532,346,21.9%,0,0,0,16136.57,569.65,14980.2,586.72,586,39.2%,0.11,75%,14930.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.10,2022-06-10,1,Lwx,ADC,2,4,0,0.5,248,9,10992,399,25.2%,0,0,0,8673.98,8087.48,586.5,0,315,21.1%,0.07,50%,14436.2,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Sett,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.10,2022-06-10,1,Hang,SUPPORT,0,3,2,0.7,40,1.5,5814,211,13.3%,0,0,0,5796.77,3899.84,0,1896.93,211,14.1%,0.07,50%,14717.1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Kayle,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.10,2022-06-10,1,Flandre,TOP,8,1,8,16,276,10,15136,550,26.6%,0,0,0,21250.26,8060.33,11435.9,1754.03,772,32.7%,0.58,88.9%,12750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.10,2022-06-10,1,Jiejie,JUNGLE,5,0,10,Perfect KDA,148,5.4,10710,389,18.8%,0,0,0,8953.84,7821.04,934.3,198.5,325,13.8%,0.54,83.3%,17492.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.10,2022-06-10,1,Scout,MID,2,2,6,4,264,9.6,11931,433,20.9%,0,0,0,11285.9,995.68,7686.85,2603.37,410,17.4%,0.29,44.4%,12631.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.10,2022-06-10,1,meiko,ADC,1,1,12,13,183,6.6,9680,352,17%,0,0,0,7569.89,624.67,6945.22,0,275,11.6%,0.47,72.2%,19408.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.10,2022-06-10,1,Viper,SUPPORT,2,0,11,Perfect KDA,53,1.9,9498,345,16.7%,0,0,0,15959.64,15529.5,320.14,110,580,24.5%,0.47,72.2%,6181.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
