Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,EDG vs JD Gaming,JD Gaming,2 - 0,Edward Gaming,WEEK2,12.10,2022-06-17,2,369,TOP,3,3,6,3,341,9.1,18509,491,24.8%,0,0,0,29073.14,15095.2,6515.77,7462.17,772,31.2%,0.24,60%,21668.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,EDG vs JD Gaming,JD Gaming,2 - 0,Edward Gaming,WEEK2,12.10,2022-06-17,2,Kanavi,JUNGLE,3,2,11,7,228,6.1,13946,370,18.7%,0,0,0,15502.93,11344.8,2286.15,1871.98,412,16.6%,0.37,93.3%,30613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBlanc,EDG vs JD Gaming,JD Gaming,2 - 0,Edward Gaming,WEEK2,12.10,2022-06-17,2,Yagao,MID,1,1,6,7,266,7.1,13561,360,18.2%,0,0,0,17857.39,876.64,15124.8,1855.95,474,19.1%,0.19,46.7%,15998.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,EDG vs JD Gaming,JD Gaming,2 - 0,Edward Gaming,WEEK2,12.10,2022-06-17,2,Hope,ADC,8,0,5,Perfect KDA,374,9.9,19389,515,26%,0,0,0,26181.4,20115.3,1553.81,4512.29,695,28.1%,0.35,86.7%,10182.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,EDG vs JD Gaming,JD Gaming,2 - 0,Edward Gaming,WEEK2,12.10,2022-06-17,2,Missing,SUPPORT,0,1,11,11,36,1,9083,241,12.2%,0,0,0,4710.62,834.05,2315.59,1560.98,125,5%,0.29,73.3%,20376.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riven,EDG vs JD Gaming,JD Gaming,2 - 0,Edward Gaming,WEEK2,12.10,2022-06-17,2,Flandre,TOP,1,5,3,0.8,310,8.2,13884,369,22.8%,0,0,0,10481.23,10214.3,0,266.93,278,14.7%,0.11,57.1%,34705.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,EDG vs JD Gaming,JD Gaming,2 - 0,Edward Gaming,WEEK2,12.10,2022-06-17,2,Jiejie,JUNGLE,3,3,0,1,187,5,11250,299,18.5%,0,0,0,10483.3,8839.39,568.3,1075.61,278,14.7%,0.08,42.9%,38933.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoe,EDG vs JD Gaming,JD Gaming,2 - 0,Edward Gaming,WEEK2,12.10,2022-06-17,2,Scout,MID,2,4,3,1.3,275,7.3,12891,342,21.2%,0,0,0,17733.17,1174.36,12584.5,3974.31,471,24.9%,0.13,71.4%,18846.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,EDG vs JD Gaming,JD Gaming,2 - 0,Edward Gaming,WEEK2,12.10,2022-06-17,2,Viper,ADC,1,1,3,4,392,10.4,15558,413,25.5%,0,0,0,26036.62,20307.2,4150.35,1579.07,691,36.6%,0.11,57.1%,23039.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuumi,EDG vs JD Gaming,JD Gaming,2 - 0,Edward Gaming,WEEK2,12.10,2022-06-17,2,meiko,SUPPORT,0,2,5,2.5,3,0.1,7349,195,12.1%,0,0,0,6465.1,688.38,5320.16,456.56,172,9.1%,0.13,71.4%,5189.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
