Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,EDG vs LGD Gaming,Edward Gaming,2 - 0,LGD Gaming,WEEK7,12.13,2022-07-21,1,Flandre,TOP,1,1,4,5,206,9,9300,404,18.7%,0,0,0,16075.01,13448.1,2626.91,0,698,26.3%,0.22,31.3%,14701.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle,EDG vs LGD Gaming,Edward Gaming,2 - 0,LGD Gaming,WEEK7,12.13,2022-07-21,1,JunJia,JUNGLE,2,1,9,11,109,4.7,8016,348,16.1%,0,0,0,4220.49,3000.45,788.04,432,183,6.9%,0.48,68.8%,24182.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,EDG vs LGD Gaming,Edward Gaming,2 - 0,LGD Gaming,WEEK7,12.13,2022-07-21,1,Scout,MID,6,0,2,Perfect KDA,231,10,11812,513,23.7%,0,0,0,16895.13,138.44,15980.2,776.49,734,27.6%,0.35,50%,12963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draven,EDG vs LGD Gaming,Edward Gaming,2 - 0,LGD Gaming,WEEK7,12.13,2022-07-21,1,Viper,ADC,7,0,5,Perfect KDA,223,9.7,14247,619,28.6%,0,0,0,20357.47,19105,343.7,908.77,884,33.3%,0.52,75%,8916.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blitzcrank,EDG vs LGD Gaming,Edward Gaming,2 - 0,LGD Gaming,WEEK7,12.13,2022-07-21,1,meiko,SUPPORT,0,3,14,4.7,24,1,6461,281,13%,0,0,0,3625.94,1396.69,1887.25,342,158,5.9%,0.61,87.5%,9536.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sejuani,EDG vs LGD Gaming,Edward Gaming,2 - 0,LGD Gaming,WEEK7,12.13,2022-07-21,1,Chelizi,TOP,1,2,3,2,184,8,7418,322,21.5%,0,0,0,7326.4,3068.04,3240.36,1018,318,19.9%,0.17,80%,19557.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,EDG vs LGD Gaming,Edward Gaming,2 - 0,LGD Gaming,WEEK7,12.13,2022-07-21,1,Shad0w,JUNGLE,0,4,4,1,116,5,6162,268,17.9%,0,0,0,7139.1,4325.09,1172.45,1641.56,310,19.4%,0.17,80%,18299.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akali,EDG vs LGD Gaming,Edward Gaming,2 - 0,LGD Gaming,WEEK7,12.13,2022-07-21,1,Haichao,MID,3,2,1,2,192,8.3,8024,349,23.2%,0,0,0,8913.11,591.72,7985.12,336.27,387,24.2%,0.17,80%,14479.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,EDG vs LGD Gaming,Edward Gaming,2 - 0,LGD Gaming,WEEK7,12.13,2022-07-21,1,Assum,ADC,1,5,1,0.4,190,8.3,8054,350,23.3%,0,0,0,9480.18,7967.72,511.43,1001.03,412,25.7%,0.09,40%,12461.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,EDG vs LGD Gaming,Edward Gaming,2 - 0,LGD Gaming,WEEK7,12.13,2022-07-21,1,jinjiao,SUPPORT,0,3,2,0.7,41,1.8,4858,211,14.1%,0,0,0,4025.9,445.19,1908.97,1671.74,175,10.9%,0.09,40%,7826.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
