Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,EDG vs TT,Edward Gaming,2 - 0,TT,WEEK4,12.11,2022-07-01,1,Flandre,TOP,5,1,6,11,274,8.4,14575,449,24.7%,0,0,0,21740.04,19053.9,2686.14,0,670,24.1%,0.34,84.6%,19826.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vi,EDG vs TT,Edward Gaming,2 - 0,TT,WEEK4,12.11,2022-07-01,1,Jiejie,JUNGLE,2,2,5,3.5,188,5.8,10670,329,18.1%,0,0,0,8095.63,7918.13,0,177.5,249,9%,0.22,53.8%,22635.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,EDG vs TT,Edward Gaming,2 - 0,TT,WEEK4,12.11,2022-07-01,1,Scout,MID,2,1,6,8,286,8.8,12075,372,20.5%,0,0,0,16818.71,1005.56,12478,3335.15,518,18.7%,0.25,61.5%,11040.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,EDG vs TT,Edward Gaming,2 - 0,TT,WEEK4,12.11,2022-07-01,1,Viper,ADC,4,3,8,4,316,9.7,14154,436,24%,0,0,0,36995.1,16732.8,19766.3,496,1139,41%,0.37,92.3%,12242.4,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Lulu,EDG vs TT,Edward Gaming,2 - 0,TT,WEEK4,12.11,2022-07-01,1,meiko,SUPPORT,0,0,12,Perfect KDA,12,0.4,7423,229,12.6%,0,0,0,6510.99,1055.64,4679.35,776,201,7.2%,0.37,92.3%,6060.07,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Gragas,EDG vs TT,Edward Gaming,2 - 0,TT,WEEK4,12.11,2022-07-01,1,Hoya,TOP,1,3,4,1.7,198,6.1,9859,304,19.5%,0,0,0,11363.15,508.86,10487.6,366.69,350,23.9%,0.15,71.4%,25241.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,EDG vs TT,Edward Gaming,2 - 0,TT,WEEK4,12.11,2022-07-01,1,Beichuan,JUNGLE,1,5,2,0.6,181,5.6,9465,292,18.8%,0,0,0,3667.45,3397.93,213.52,56,113,7.7%,0.09,42.9%,30781.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,EDG vs TT,Edward Gaming,2 - 0,TT,WEEK4,12.11,2022-07-01,1,Ucal,MID,1,3,2,1,265,8.2,10545,325,20.9%,0,0,0,10546.06,583.95,9746.11,216,325,22.1%,0.09,42.9%,18403.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,EDG vs TT,Edward Gaming,2 - 0,TT,WEEK4,12.11,2022-07-01,1,Southwind,ADC,1,2,3,2,217,6.7,10749,331,21.3%,0,0,0,5656.66,128.67,4905.99,622,174,11.9%,0.12,57.1%,30731.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,EDG vs TT,Edward Gaming,2 - 0,TT,WEEK4,12.11,2022-07-01,1,Puff,SUPPORT,3,0,3,Perfect KDA,78,2.4,9814,302,19.5%,0,0,0,16399.06,15261.2,579.86,558,505,34.4%,0.18,85.7%,12554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
