Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Aatrox,EDG vs Top Esports,Edward Gaming,1 - 2,Top Esports,WEEK6,12.12,2022-07-16,2,Wayward,TOP,2,0,2,Perfect KDA,281,10.9,11589,452,21.7%,0,0,0,12611.5,11941.5,0,670,491,19.3%,0.16,26.7%,18212.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle,EDG vs Top Esports,Edward Gaming,1 - 2,Top Esports,WEEK6,12.12,2022-07-16,2,Tian,JUNGLE,3,2,11,7,127,4.9,9346,364,17.5%,0,0,0,4957.61,2693.74,1970.87,293,193,7.6%,0.55,93.3%,26868.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,EDG vs Top Esports,Edward Gaming,1 - 2,Top Esports,WEEK6,12.12,2022-07-16,2,Knight,MID,2,0,6,Perfect KDA,249,9.7,11525,449,21.6%,0,0,0,17866.06,374.76,17491.3,0,696,27.3%,0.31,53.3%,9069.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seraphine,EDG vs Top Esports,Edward Gaming,1 - 2,Top Esports,WEEK6,12.12,2022-07-16,2,Mark,ADC,2,0,11,Perfect KDA,188,7.3,10622,414,19.9%,0,0,0,10945.52,744.72,10200.8,0,426,16.7%,0.51,86.7%,7324.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,EDG vs Top Esports,Edward Gaming,1 - 2,Top Esports,WEEK6,12.12,2022-07-16,2,JackeyLove,SUPPORT,6,0,4,Perfect KDA,42,1.6,10210,398,19.2%,0,0,0,19122.8,19122.8,0,0,745,29.2%,0.39,66.7%,9279.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank,EDG vs Top Esports,Edward Gaming,1 - 2,Top Esports,WEEK6,12.12,2022-07-16,2,Flandre,TOP,0,2,2,1,217,8.5,9987,389,25.5%,0,0,0,10665.32,7321.82,1513.38,1830.12,416,25%,0.08,100%,17695.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,EDG vs Top Esports,Edward Gaming,1 - 2,Top Esports,WEEK6,12.12,2022-07-16,2,Jiejie,JUNGLE,1,2,1,1,131,5.1,7194,280,18.4%,0,0,0,4736.76,3171.17,774.93,790.66,185,11.1%,0.08,100%,18228.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoe,EDG vs Top Esports,Edward Gaming,1 - 2,Top Esports,WEEK6,12.12,2022-07-16,2,Scout,MID,1,4,1,0.5,198,7.7,8249,321,21%,0,0,0,8927.58,694.5,6676.21,1556.87,348,20.9%,0.08,100%,15282.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,EDG vs Top Esports,Edward Gaming,1 - 2,Top Esports,WEEK6,12.12,2022-07-16,2,Viper,ADC,0,2,1,0.5,237,9.2,8783,342,22.4%,0,0,0,14402.36,13490.8,536,375.56,561,33.8%,0.04,50%,12199.7,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Tahm Kench,EDG vs Top Esports,Edward Gaming,1 - 2,Top Esports,WEEK6,12.12,2022-07-16,2,meiko,SUPPORT,0,5,1,0.2,35,1.4,4985,194,12.7%,0,0,0,3915.93,208.35,3529.47,178.11,153,9.2%,0.04,50%,15859.4,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
