Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,EDG vs Ultra Prime,Edward Gaming,2 - 0,Ultra Prime,WEEK6,12.12,2022-07-13,2,Flandre,TOP,1,2,11,6,257,7.7,14690,439,22.4%,0,0,0,16103.6,9150.66,5096.71,1856.23,481,19.4%,0.36,70.6%,20741.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,EDG vs Ultra Prime,Edward Gaming,2 - 0,Ultra Prime,WEEK6,12.12,2022-07-13,2,Jiejie,JUNGLE,5,0,7,Perfect KDA,174,5.2,12430,371,19%,0,0,0,16048.23,13886.3,942.64,1219.29,479,19.4%,0.36,70.6%,25085.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,EDG vs Ultra Prime,Edward Gaming,2 - 0,Ultra Prime,WEEK6,12.12,2022-07-13,2,Scout,MID,1,1,8,9,321,9.6,13762,411,21%,0,0,0,18295.51,327.58,17844.3,123.63,546,22.1%,0.27,52.9%,14336.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,EDG vs Ultra Prime,Edward Gaming,2 - 0,Ultra Prime,WEEK6,12.12,2022-07-13,2,meiko,ADC,2,0,8,Perfect KDA,169,5,11038,330,16.9%,0,0,0,8201.2,485.52,7715.68,0,245,9.9%,0.3,58.8%,23052.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,EDG vs Ultra Prime,Edward Gaming,2 - 0,Ultra Prime,WEEK6,12.12,2022-07-13,2,Viper,SUPPORT,8,0,4,Perfect KDA,114,3.4,13521,404,20.7%,0,0,0,24210.5,21020,384.51,2805.99,723,29.2%,0.36,70.6%,13237.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sejuani,EDG vs Ultra Prime,Edward Gaming,2 - 0,Ultra Prime,WEEK6,12.12,2022-07-13,2,Zoom,TOP,1,4,1,0.5,272,8.1,11865,354,23.4%,0,0,0,11067.62,4552.6,6027.02,488,331,15.8%,0.06,66.7%,25332.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rek,EDG vs Ultra Prime,Edward Gaming,2 - 0,Ultra Prime,WEEK6,12.12,2022-07-13,2,H4cker,JUNGLE,2,2,1,1.5,185,5.5,10724,320,21.1%,0,0,0,11579.3,8358.11,23.46,3197.73,346,16.5%,0.09,100%,25193.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,EDG vs Ultra Prime,Edward Gaming,2 - 0,Ultra Prime,WEEK6,12.12,2022-07-13,2,Cryin,MID,0,4,1,0.3,246,7.3,10036,300,19.8%,0,0,0,19019.41,786.53,13736.2,4496.68,568,27.1%,0.03,33.3%,34989.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,EDG vs Ultra Prime,Edward Gaming,2 - 0,Ultra Prime,WEEK6,12.12,2022-07-13,2,Elk,ADC,0,2,0,0,287,8.6,11915,356,23.5%,0,0,0,22181.57,19639.3,1001.32,1540.95,662,31.6%,0,0%,14967.5,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Renata Glasc,EDG vs Ultra Prime,Edward Gaming,2 - 0,Ultra Prime,WEEK6,12.12,2022-07-13,2,Miaoniu,SUPPORT,0,5,0,0,22,0.7,6170,184,12.2%,0,0,0,6330.5,614.17,2680.49,3035.84,189,9%,0,0%,15222.8,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
