Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sejuani,EDG vs V5,Edward Gaming,0 - 2,Victory Five,WEEK5,12.12,2022-07-10,1,Flandre,TOP,1,4,5,1.5,233,8,9657,333,20.5%,0,0,0,7976.29,3626.76,3549.53,800,275,16.3%,0.21,100%,21095.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,EDG vs V5,Edward Gaming,0 - 2,Victory Five,WEEK5,12.12,2022-07-10,1,Jiejie,JUNGLE,1,2,4,2.5,169,5.8,8394,289,17.9%,0,0,0,5946.43,5700.4,186.03,60,205,12.1%,0.17,83.3%,23080.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,EDG vs V5,Edward Gaming,0 - 2,Victory Five,WEEK5,12.12,2022-07-10,1,Scout,MID,1,3,3,1.3,300,10.3,12168,419,25.9%,0,0,0,17608.55,2339.59,14637.5,631.46,606,35.9%,0.14,66.7%,14261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,EDG vs V5,Edward Gaming,0 - 2,Victory Five,WEEK5,12.12,2022-07-10,1,meiko,ADC,1,3,4,1.7,173,6,8386,289,17.8%,0,0,0,3517.73,321.89,3195.84,0,121,7.2%,0.17,83.3%,19677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,EDG vs V5,Edward Gaming,0 - 2,Victory Five,WEEK5,12.12,2022-07-10,1,Viper,SUPPORT,2,4,3,1.3,58,2,8398,289,17.9%,0,0,0,14016.2,13950.2,0,66,483,28.6%,0.17,83.3%,12673.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,EDG vs V5,Edward Gaming,0 - 2,Victory Five,WEEK5,12.12,2022-07-10,1,Rich,TOP,2,1,9,11,252,8.7,11777,406,20.5%,0,0,0,17087.1,15259.9,1765.85,61.35,589,24.2%,0.38,68.8%,17712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,EDG vs V5,Edward Gaming,0 - 2,Victory Five,WEEK5,12.12,2022-07-10,1,Karsa,JUNGLE,1,1,14,15,155,5.3,9929,342,17.3%,0,0,0,7619.65,5160.15,1918,541.5,262,10.8%,0.52,93.8%,17180.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,EDG vs V5,Edward Gaming,0 - 2,Victory Five,WEEK5,12.12,2022-07-10,1,RooKie,MID,3,1,11,14,263,9.1,11932,411,20.8%,0,0,0,17322.71,410.38,16678,234.33,597,24.6%,0.48,87.5%,11315.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,EDG vs V5,Edward Gaming,0 - 2,Victory Five,WEEK5,12.12,2022-07-10,1,Photic,ADC,10,1,4,14,274,9.4,16075,554,28%,0,0,0,23259.5,18698,1786.9,2774.6,801,33%,0.48,87.5%,16860.6,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Renata Glasc,EDG vs V5,Edward Gaming,0 - 2,Victory Five,WEEK5,12.12,2022-07-10,1,Ppgod,SUPPORT,0,2,14,7,13,0.4,7658,264,13.3%,0,0,0,5214.3,822.49,3838.55,553.26,180,7.4%,0.48,87.5%,9554.11,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
