Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,FPX vs AL,Funplus Phoenix,2 - 1,Anyone s Legend,WEEK7,12.13,2022-07-21,1,Summit,TOP,5,1,6,11,233,8.1,11821,412,21.3%,0,0,0,21161.2,14761.8,5703.07,696.33,737,27.4%,0.38,64.7%,17586.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle,FPX vs AL,Funplus Phoenix,2 - 1,Anyone s Legend,WEEK7,12.13,2022-07-21,1,Clid,JUNGLE,2,3,8,3.3,156,5.4,9533,332,17.1%,0,0,0,6063.54,3615.76,1800.91,646.87,211,7.9%,0.35,58.8%,27684.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viktor,FPX vs AL,Funplus Phoenix,2 - 1,Anyone s Legend,WEEK7,12.13,2022-07-21,1,Care,MID,2,2,9,5.5,280,9.8,12356,431,22.2%,0,0,0,20109.19,285.57,19115.8,707.82,701,26.1%,0.38,64.7%,9322.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,FPX vs AL,Funplus Phoenix,2 - 1,Anyone s Legend,WEEK7,12.13,2022-07-21,1,Lwx,ADC,6,1,4,10,281,9.8,13370,466,24%,0,0,0,21986.64,14764.9,5639.23,1582.51,766,28.5%,0.35,58.8%,12321.7,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Nami,FPX vs AL,Funplus Phoenix,2 - 1,Anyone s Legend,WEEK7,12.13,2022-07-21,1,Hang,SUPPORT,2,1,12,14,12,0.4,8529,297,15.3%,0,0,0,7861.44,555.24,6884.1,422.1,274,10.2%,0.49,82.4%,7281.36,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Camille,FPX vs AL,Funplus Phoenix,2 - 1,Anyone s Legend,WEEK7,12.13,2022-07-21,1,Zdz,TOP,3,3,0,1,226,7.9,10295,359,22.6%,0,0,0,12895.64,6965.54,1031.79,4898.31,449,25%,0.1,37.5%,25987.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,FPX vs AL,Funplus Phoenix,2 - 1,Anyone s Legend,WEEK7,12.13,2022-07-21,1,Xiaohao,JUNGLE,2,4,3,1.3,173,6,9231,322,20.3%,0,0,0,4902.28,3735.89,1006.39,160,171,9.5%,0.17,62.5%,22929.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,FPX vs AL,Funplus Phoenix,2 - 1,Anyone s Legend,WEEK7,12.13,2022-07-21,1,Forge,MID,1,3,6,2.3,258,9,10146,354,22.3%,0,0,0,18949.56,524.26,18425.3,0,660,36.8%,0.24,87.5%,15487.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,FPX vs AL,Funplus Phoenix,2 - 1,Anyone s Legend,WEEK7,12.13,2022-07-21,1,Qiuqiu,ADC,1,5,3,0.8,168,5.9,8159,284,17.9%,0,0,0,4884.49,184.4,4700.09,0,170,9.5%,0.14,50%,22879.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,FPX vs AL,Funplus Phoenix,2 - 1,Anyone s Legend,WEEK7,12.13,2022-07-21,1,Betty,SUPPORT,1,2,6,3.5,58,2,7685,268,16.9%,0,0,0,9850.02,9774.02,0,76,343,19.1%,0.24,87.5%,10818.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
