Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,2,369,TOP,2,2,3,2.5,289,9.8,14652,496,28.3%,0,0,0,19726.52,13837.5,2974.89,2914.13,668,41.8%,0.17,100%,15083.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graves,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,2,Kanavi,JUNGLE,1,5,2,0.6,193,6.5,9678,328,18.7%,0,0,0,7058.8,6172.18,428.62,458,239,14.9%,0.1,60%,17121.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoe,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,2,Yagao,MID,1,3,3,1.3,215,7.3,9754,330,18.9%,0,0,0,12607.99,803.84,10755.9,1048.25,427,26.7%,0.14,80%,10575.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,2,Hope,ADC,1,1,1,2,288,9.8,11654,395,22.5%,0,0,0,5136.23,4974.21,162.02,0,174,10.9%,0.07,40%,7311.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,2,Missing,SUPPORT,0,3,2,0.7,32,1.1,5957,202,11.5%,0,0,0,2707.95,453.1,1553.73,701.12,92,5.7%,0.07,40%,8729.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gragas,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,2,Summit,TOP,4,2,5,4.5,240,8.1,12497,423,21.8%,0,0,0,15554.78,900.49,14268.5,385.79,527,34.6%,0.3,64.3%,19746.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,2,Clid,JUNGLE,3,2,11,7,170,5.8,11139,377,19.4%,0,0,0,7645.71,6124.35,1035.36,486,259,17%,0.47,100%,25209.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,2,Care,MID,4,0,8,Perfect KDA,288,9.8,13394,454,23.3%,0,0,0,8235.25,858.47,4926.93,2449.85,279,18.3%,0.41,85.7%,11213.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,2,Lwx,ADC,3,1,6,9,281,9.5,13254,449,23.1%,0,0,0,10607.73,9044.84,1173.92,388.97,359,23.6%,0.3,64.3%,7326.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,2,Hang,SUPPORT,0,0,12,Perfect KDA,26,0.9,7104,241,12.4%,0,0,0,2858.07,257.24,2600.83,0,97,6.4%,0.41,85.7%,8830.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
