Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,FPX vs LGD Gaming,Funplus Phoenix,2 - 1,LGD Gaming,WEEK5,12.12,2022-07-06,3,Summit,TOP,5,1,9,14,285,9.7,14908,505,24%,0,0,0,28091.68,18987.2,7003.99,2100.49,952,37.8%,0.47,70%,19148.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volibear,FPX vs LGD Gaming,Funplus Phoenix,2 - 1,LGD Gaming,WEEK5,12.12,2022-07-06,3,Clid,JUNGLE,4,2,13,8.5,160,5.4,10776,365,17.3%,0,0,0,8328.07,4585.01,3299.96,443.1,282,11.2%,0.58,85%,26188.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,FPX vs LGD Gaming,Funplus Phoenix,2 - 1,LGD Gaming,WEEK5,12.12,2022-07-06,3,Care,MID,7,2,5,6,270,9.1,13974,473,22.5%,0,0,0,14185.04,1981.9,9346.67,2856.47,481,19.1%,0.41,60%,14622.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,FPX vs LGD Gaming,Funplus Phoenix,2 - 1,LGD Gaming,WEEK5,12.12,2022-07-06,3,Lwx,ADC,4,2,10,7,276,9.4,13946,472,22.4%,0,0,0,18264.9,12544,5363.55,357.35,619,24.6%,0.47,70%,14024.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,FPX vs LGD Gaming,Funplus Phoenix,2 - 1,LGD Gaming,WEEK5,12.12,2022-07-06,3,Hang,SUPPORT,0,1,19,19,23,0.8,8560,290,13.8%,0,0,0,5351.99,488.46,4160.71,702.82,181,7.2%,0.64,95%,5148.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayle,FPX vs LGD Gaming,Funplus Phoenix,2 - 1,LGD Gaming,WEEK5,12.12,2022-07-06,3,fearness,TOP,2,3,1,1,285,9.7,12697,430,25.9%,0,0,0,12681.59,4172.84,5915.25,2593.5,430,23.9%,0.1,37.5%,25274.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,FPX vs LGD Gaming,Funplus Phoenix,2 - 1,LGD Gaming,WEEK5,12.12,2022-07-06,3,Shad0w,JUNGLE,1,5,2,0.6,152,5.1,8546,290,17.4%,0,0,0,9207.93,6895.55,707.3,1605.08,312,17.4%,0.1,37.5%,28719.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galio,FPX vs LGD Gaming,Funplus Phoenix,2 - 1,LGD Gaming,WEEK5,12.12,2022-07-06,3,YeG,MID,2,2,5,3.5,229,7.8,10142,344,20.7%,0,0,0,10322.03,42.63,10279.4,0,350,19.5%,0.24,87.5%,15511.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,FPX vs LGD Gaming,Funplus Phoenix,2 - 1,LGD Gaming,WEEK5,12.12,2022-07-06,3,Assum,ADC,2,6,4,1,265,9,11101,376,22.6%,0,0,0,15814.71,13865.9,1335.29,613.52,536,29.8%,0.2,75%,16890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,FPX vs LGD Gaming,Funplus Phoenix,2 - 1,LGD Gaming,WEEK5,12.12,2022-07-06,3,jinjiao,SUPPORT,1,4,7,2,16,0.5,6566,222,13.4%,0,0,0,4970.06,934.05,3870.01,166,168,9.4%,0.27,100%,10555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
