Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sejuani,FPX vs LNG Esports,Funplus Phoenix,2 - 0,LNG Esports,WEEK6,12.12,2022-07-11,2,Ale,TOP,0,3,2,0.7,187,7,7715,289,18.8%,0,0,0,9435.16,5467.47,3281.69,686,353,20%,0.07,40%,19955.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,FPX vs LNG Esports,Funplus Phoenix,2 - 0,LNG Esports,WEEK6,12.12,2022-07-11,2,Tarzan,JUNGLE,2,3,1,1,141,5.3,8104,303,19.7%,0,0,0,8280.76,4563.11,1850.27,1867.38,310,17.5%,0.11,60%,20624.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gragas,FPX vs LNG Esports,Funplus Phoenix,2 - 0,LNG Esports,WEEK6,12.12,2022-07-11,2,Doinb,MID,0,2,3,1.5,213,8,8915,333,21.7%,0,0,0,12522.15,442.19,11684.9,395.06,468,26.5%,0.11,60%,15502.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,FPX vs LNG Esports,Funplus Phoenix,2 - 0,LNG Esports,WEEK6,12.12,2022-07-11,2,Light,ADC,2,3,3,1.7,259,9.7,10678,399,26%,0,0,0,10966.99,9742.17,765.66,459.16,410,23.2%,0.19,100%,7653.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,FPX vs LNG Esports,Funplus Phoenix,2 - 0,LNG Esports,WEEK6,12.12,2022-07-11,2,Iwandy,SUPPORT,1,4,3,1,33,1.2,5640,211,13.7%,0,0,0,6047.19,874.4,2602.54,2570.25,226,12.8%,0.15,80%,13379.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,FPX vs LNG Esports,Funplus Phoenix,2 - 0,LNG Esports,WEEK6,12.12,2022-07-11,2,Summit,TOP,3,0,5,Perfect KDA,268,10,13389,501,23.9%,0,0,0,17126.08,13571.2,3554.88,0,641,29.4%,0.3,53.3%,16920.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,FPX vs LNG Esports,Funplus Phoenix,2 - 0,LNG Esports,WEEK6,12.12,2022-07-11,2,Clid,JUNGLE,0,0,15,Perfect KDA,137,5.1,9472,354,16.9%,0,0,0,8110.44,6689.65,1164.79,256,303,13.9%,0.56,100%,20186.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,FPX vs LNG Esports,Funplus Phoenix,2 - 0,LNG Esports,WEEK6,12.12,2022-07-11,2,Care,MID,2,2,9,5.5,204,7.6,10685,400,19%,0,0,0,12141.33,1045.68,10469.6,626.05,454,20.9%,0.41,73.3%,13742.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,FPX vs LNG Esports,Funplus Phoenix,2 - 0,LNG Esports,WEEK6,12.12,2022-07-11,2,Lwx,ADC,7,1,5,12,299,11.2,14648,548,26.1%,0,0,0,15246.92,12265.9,2584.22,396.8,570,26.2%,0.45,80%,11189.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyke,FPX vs LNG Esports,Funplus Phoenix,2 - 0,LNG Esports,WEEK6,12.12,2022-07-11,2,Hang,SUPPORT,3,2,4,3.5,49,1.8,7913,296,14.1%,0,0,0,5537.85,3709.98,71.14,1756.73,207,9.5%,0.26,46.7%,9080.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
