Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,FPX vs TT,Funplus Phoenix,1 - 2,TT,WEEK8,12.13,2022-07-25,2,Hoya,TOP,1,5,8,1.8,219,6.7,11851,361,20.1%,0,0,0,18653.14,16392.2,2260.94,0,569,27.8%,0.27,75%,32665.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,FPX vs TT,Funplus Phoenix,1 - 2,TT,WEEK8,12.13,2022-07-25,2,Beichuan,JUNGLE,5,4,4,2.3,141,4.3,10667,325,18.1%,0,0,0,10131.28,7498.55,2061.68,571.05,309,15.1%,0.27,75%,30946.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryze,FPX vs TT,Funplus Phoenix,1 - 2,TT,WEEK8,12.13,2022-07-25,2,Ucal,MID,3,4,7,2.5,315,9.6,15030,458,25.5%,0,0,0,20123.19,418.89,19604.3,100,614,30%,0.3,83.3%,23022.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai,FPX vs TT,Funplus Phoenix,1 - 2,TT,WEEK8,12.13,2022-07-25,2,Kepler,ADC,1,3,4,1.7,334,10.2,13921,424,23.6%,0,0,0,14046.53,8718.96,4202.76,1124.81,428,20.9%,0.15,41.7%,16805.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,FPX vs TT,Funplus Phoenix,1 - 2,TT,WEEK8,12.13,2022-07-25,2,yaoyao,SUPPORT,2,4,6,2,32,1,7577,231,12.8%,0,0,0,4183.33,303.65,3201.51,678.17,128,6.2%,0.24,66.7%,13081.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jax,FPX vs TT,Funplus Phoenix,1 - 2,TT,WEEK8,12.13,2022-07-25,2,Summit,TOP,5,5,4,1.8,216,6.6,12372,377,19.5%,0,0,0,19082.35,12705.1,6257.25,120,582,21.5%,0.27,45%,27988.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,FPX vs TT,Funplus Phoenix,1 - 2,TT,WEEK8,12.13,2022-07-25,2,Clid,JUNGLE,1,2,14,7.5,174,5.3,10971,334,17.3%,0,0,0,9122.34,7896.64,788.7,437,278,10.3%,0.46,75%,28944.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,FPX vs TT,Funplus Phoenix,1 - 2,TT,WEEK8,12.13,2022-07-25,2,Care,MID,2,2,10,6,277,8.4,12268,374,19.4%,0,0,0,16716.04,716.74,15629.3,370,510,18.8%,0.37,60%,13250.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,FPX vs TT,Funplus Phoenix,1 - 2,TT,WEEK8,12.13,2022-07-25,2,Lwx,ADC,11,1,9,20,367,11.2,19402,592,30.6%,0,0,0,37896.2,19846.3,17557.9,492,1155,42.7%,0.61,100%,11543.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,FPX vs TT,Funplus Phoenix,1 - 2,TT,WEEK8,12.13,2022-07-25,2,Hang,SUPPORT,1,2,17,9,39,1.2,8334,254,13.2%,0,0,0,5959.63,518.39,5441.24,0,182,6.7%,0.55,90%,13561.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
