Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,FPX vs Top Esports,Funplus Phoenix,1 - 2,Top Esports,WEEK3,12.11,2022-06-25,2,Wayward,TOP,6,3,7,4.3,341,8.9,17913,466,25.7%,0,0,0,28921.03,19149.4,5731.35,4040.28,752,36.4%,0.34,86.7%,34947.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle,FPX vs Top Esports,Funplus Phoenix,1 - 2,Top Esports,WEEK3,12.11,2022-06-25,2,Tian,JUNGLE,1,7,8,1.3,161,4.2,11275,293,16.2%,0,0,0,7872.46,5024.25,2162.71,685.5,205,9.9%,0.23,60%,39444.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,FPX vs Top Esports,Funplus Phoenix,1 - 2,Top Esports,WEEK3,12.11,2022-06-25,2,Knight,MID,4,5,7,2.2,251,6.5,14307,372,20.5%,0,0,0,19433.99,1438.15,13696.7,4299.14,506,24.4%,0.29,73.3%,21624.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,FPX vs Top Esports,Funplus Phoenix,1 - 2,Top Esports,WEEK3,12.11,2022-06-25,2,JackeyLove,ADC,4,2,6,5,386,10,17656,459,25.3%,0,0,0,19592.45,8361.05,11201.4,30,510,24.6%,0.26,66.7%,11571.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,FPX vs Top Esports,Funplus Phoenix,1 - 2,Top Esports,WEEK3,12.11,2022-06-25,2,Mark,SUPPORT,0,3,10,3.3,34,0.9,8505,221,12.2%,0,0,0,3739.38,424.12,2727.26,588,97,4.7%,0.26,66.7%,18178.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayle,FPX vs Top Esports,Funplus Phoenix,1 - 2,Top Esports,WEEK3,12.11,2022-06-25,2,Xiaolaohu,TOP,4,5,5,1.8,379,9.9,18234,474,23.4%,0,0,0,25523.05,10040.8,12844.5,2637.75,664,25.5%,0.23,45%,24999.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,FPX vs Top Esports,Funplus Phoenix,1 - 2,Top Esports,WEEK3,12.11,2022-06-25,2,Clid,JUNGLE,6,1,11,17,204,5.3,14642,381,18.8%,0,0,0,12922.17,10184,1121.7,1616.47,336,12.9%,0.44,85%,24576.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,FPX vs Top Esports,Funplus Phoenix,1 - 2,Top Esports,WEEK3,12.11,2022-06-25,2,Care,MID,6,2,9,7.5,312,8.1,16103,419,20.7%,0,0,0,27565.49,147.89,26188.6,1229,717,27.6%,0.39,75%,29477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,FPX vs Top Esports,Funplus Phoenix,1 - 2,Top Esports,WEEK3,12.11,2022-06-25,2,Lwx,ADC,4,1,5,9,398,10.4,19723,513,25.3%,0,0,0,28698.83,23280.4,1165.44,4252.99,747,28.7%,0.23,45%,12431.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,FPX vs Top Esports,Funplus Phoenix,1 - 2,Top Esports,WEEK3,12.11,2022-06-25,2,Hang,SUPPORT,0,6,10,1.7,44,1.1,9227,240,11.8%,0,0,0,5195.94,353.11,3530.87,1311.96,135,5.2%,0.26,50%,16830.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
