Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Camille,IG vs AL,Invictus Gaming,1 - 2,Anyone s Legend,WEEK3,12.11,2022-06-26,2,Zdz,TOP,4,2,3,3.5,302,8.9,13705,404,20.7%,0,0,0,16096.56,8767.18,1288.16,6041.22,475,21.4%,0.21,41.2%,21665.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,IG vs AL,Invictus Gaming,1 - 2,Anyone s Legend,WEEK3,12.11,2022-06-26,2,Xiaohao,JUNGLE,6,1,8,14,211,6.2,12993,383,19.6%,0,0,0,14515.15,12239.9,1784.25,491,428,19.3%,0.41,82.4%,27522.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,IG vs AL,Invictus Gaming,1 - 2,Anyone s Legend,WEEK3,12.11,2022-06-26,2,Forge,MID,2,1,10,12,309,9.1,13934,411,21.1%,0,0,0,15065.17,782.27,14282.9,0,444,20%,0.35,70.6%,19558.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seraphine,IG vs AL,Invictus Gaming,1 - 2,Anyone s Legend,WEEK3,12.11,2022-06-26,2,Qiuqiu,ADC,3,1,7,10,285,8.4,13438,396,20.3%,0,0,0,17043.82,423.02,16620.8,0,503,22.7%,0.29,58.8%,9611.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,IG vs AL,Invictus Gaming,1 - 2,Anyone s Legend,WEEK3,12.11,2022-06-26,2,Betty,SUPPORT,2,1,13,15,73,2.2,12066,356,18.2%,0,0,0,12515.19,12181.2,87.99,246,369,16.6%,0.44,88.2%,10944.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jax,IG vs AL,Invictus Gaming,1 - 2,Anyone s Legend,WEEK3,12.11,2022-06-26,2,Zika,TOP,1,2,0,0.5,323,9.5,13240,390,22.9%,0,0,0,13717.31,9862.77,3854.54,0,404,23.7%,0.03,16.7%,21158.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,IG vs AL,Invictus Gaming,1 - 2,Anyone s Legend,WEEK3,12.11,2022-06-26,2,XUN,JUNGLE,3,4,1,1,223,6.6,11712,345,20.3%,0,0,0,10293.62,8900.1,708.08,685.44,303,17.8%,0.12,66.7%,30873.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,IG vs AL,Invictus Gaming,1 - 2,Anyone s Legend,WEEK3,12.11,2022-06-26,2,Yuekai,MID,1,2,4,2.5,314,9.3,13189,389,22.8%,0,0,0,14182.6,1346.68,10043.1,2792.82,418,24.5%,0.15,83.3%,19684.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,IG vs AL,Invictus Gaming,1 - 2,Anyone s Legend,WEEK3,12.11,2022-06-26,2,Wink,ADC,1,5,1,0.4,303,8.9,12550,370,21.7%,0,0,0,16096.74,10470.7,4717.43,908.61,475,27.8%,0.06,33.3%,15718.3,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Bard,IG vs AL,Invictus Gaming,1 - 2,Anyone s Legend,WEEK3,12.11,2022-06-26,2,XinLiu,SUPPORT,0,4,2,0.5,56,1.7,7056,208,12.2%,0,0,0,3670.67,252.78,2645.89,772,108,6.3%,0.06,33.3%,15527.8,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
