Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Kennen,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,2,Flandre,TOP,1,0,5,Perfect KDA,258,9.6,12303,460,21.7%,0,0,0,12787.64,2735.81,9397.73,654.1,478,19.2%,0.22,37.5%,8396.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,2,Jiejie,JUNGLE,2,0,5,Perfect KDA,162,6.1,9251,346,16.3%,0,0,0,4699.33,4287.99,328.34,83,176,7%,0.26,43.8%,15126.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,2,Scout,MID,3,0,8,Perfect KDA,280,10.5,13147,491,23.2%,0,0,0,18176.77,2017.81,15486.4,672.56,680,27.3%,0.41,68.8%,8871.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,2,Viper,ADC,10,1,3,13,254,9.5,14209,531,25%,0,0,0,27945.4,14214,13731.4,0,1045,41.9%,0.49,81.3%,8394.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,2,meiko,SUPPORT,0,0,14,Perfect KDA,17,0.6,7814,292,13.8%,0,0,0,3062.17,886.65,2175.52,0,114,4.6%,0.52,87.5%,5632.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camille,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,2,Zika,TOP,0,2,0,0,203,7.6,7935,297,20.5%,0,0,0,3111.82,2324.67,135.52,651.63,116,15.6%,0,0%,19461.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,2,XUN,JUNGLE,0,2,1,0.5,168,6.3,7929,296,20.5%,0,0,0,4510.65,3778.61,364.35,367.69,169,22.6%,0.04,100%,23877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,2,Yuekai,MID,0,4,0,0,224,8.4,8423,315,21.8%,0,0,0,5089.42,321.07,4768.35,0,190,25.5%,0,0%,11877.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,2,Wink,ADC,0,5,1,0.2,244,9.1,8761,328,22.6%,0,0,0,5652.44,5652.44,0,0,211,28.3%,0.04,100%,18740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taric,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,2,XinLiu,SUPPORT,1,3,0,0.3,38,1.4,5646,211,14.6%,0,0,0,1583.97,129.1,898.87,556,59,7.9%,0.04,100%,13026.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
