Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Jayce,IG vs FPX,Funplus Phoenix,0 - 2,Invictus Gaming,WEEK2,12.10,2022-06-13,1,Xiaolaohu,TOP,3,4,3,1.5,256,8.3,12403,404,25.3%,0,0,0,25802.33,23725.3,2077.03,0,841,36.2%,0.2,100%,17789.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,IG vs FPX,Funplus Phoenix,0 - 2,Invictus Gaming,WEEK2,12.10,2022-06-13,1,Clid,JUNGLE,2,4,2,1,151,4.9,9381,306,19.1%,0,0,0,6337.29,5107.42,811.37,418.5,207,8.9%,0.13,66.7%,25353.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,IG vs FPX,Funplus Phoenix,0 - 2,Invictus Gaming,WEEK2,12.10,2022-06-13,1,Care,MID,1,4,5,1.5,228,7.4,9901,323,20.2%,0,0,0,17535.57,1145.47,16240.1,150,572,24.6%,0.2,100%,20558.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,IG vs FPX,Funplus Phoenix,0 - 2,Invictus Gaming,WEEK2,12.10,2022-06-13,1,Lwx,ADC,0,4,1,0.3,271,8.8,10569,344,21.6%,0,0,0,15482.33,12234.1,3080.23,168,505,21.7%,0.03,16.7%,15721.8,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Nami,IG vs FPX,Funplus Phoenix,0 - 2,Invictus Gaming,WEEK2,12.10,2022-06-13,1,Hang,SUPPORT,0,2,4,2,20,0.7,6756,220,13.8%,0,0,0,6087.56,516.51,4576.81,994.24,198,8.5%,0.13,66.7%,8308.22,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Fiora,IG vs FPX,Funplus Phoenix,0 - 2,Invictus Gaming,WEEK2,12.10,2022-06-13,1,Zika,TOP,3,0,5,Perfect KDA,252,8.2,12151,396,20.1%,0,0,0,8811.3,5834.44,367.73,2609.13,287,13%,0.26,44.4%,26571.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kindred,IG vs FPX,Funplus Phoenix,0 - 2,Invictus Gaming,WEEK2,12.10,2022-06-13,1,XUN,JUNGLE,5,3,6,3.7,249,8.1,13620,444,22.6%,0,0,0,19342.44,11958,3171.64,4212.8,630,28.4%,0.36,61.1%,27332.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galio,IG vs FPX,Funplus Phoenix,0 - 2,Invictus Gaming,WEEK2,12.10,2022-06-13,1,Yuekai,MID,7,2,7,7,235,7.7,13819,450,22.9%,0,0,0,20051.28,0,19064.2,987.08,653,29.5%,0.46,77.8%,20711.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,IG vs FPX,Funplus Phoenix,0 - 2,Invictus Gaming,WEEK2,12.10,2022-06-13,1,XinLiu,ADC,2,1,10,12,199,6.5,10875,354,18%,0,0,0,6277,404.77,4352.84,1519.39,205,9.2%,0.39,66.7%,19653.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,IG vs FPX,Funplus Phoenix,0 - 2,Invictus Gaming,WEEK2,12.10,2022-06-13,1,Wink,SUPPORT,1,0,13,Perfect KDA,56,1.8,9897,323,16.4%,0,0,0,13550.81,12816.4,0,734.41,442,19.9%,0.46,77.8%,10667.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
