Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sejuani,IG vs JD Gaming,Invictus Gaming,1 - 2,JD Gaming,WEEK7,12.12,2022-07-18,1,Zika,TOP,1,3,3,1.3,225,7.4,9321,307,20.2%,0,0,0,10383.27,5920.73,4293.05,169.49,342,19.7%,0.13,66.7%,26681.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,IG vs JD Gaming,Invictus Gaming,1 - 2,JD Gaming,WEEK7,12.12,2022-07-18,1,XUN,JUNGLE,1,6,4,0.8,162,5.3,8764,288,19%,0,0,0,7736.8,5355.21,1452.55,929.04,255,14.7%,0.16,83.3%,28783.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,IG vs JD Gaming,Invictus Gaming,1 - 2,JD Gaming,WEEK7,12.12,2022-07-18,1,Mole,MID,2,3,1,1,193,6.4,9075,299,19.7%,0,0,0,11671.39,213.83,11307.2,150.36,384,22.1%,0.1,50%,23593.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,IG vs JD Gaming,Invictus Gaming,1 - 2,JD Gaming,WEEK7,12.12,2022-07-18,1,Ahn,ADC,2,3,2,1.3,286,9.4,12514,412,27.2%,0,0,0,17405.72,13578.8,1797.6,2029.32,573,33%,0.13,66.7%,12436.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,IG vs JD Gaming,Invictus Gaming,1 - 2,JD Gaming,WEEK7,12.12,2022-07-18,1,Wink,SUPPORT,0,4,6,1.5,22,0.7,6376,210,13.8%,0,0,0,5498.1,600.69,4235.41,662,181,10.4%,0.2,100%,12084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gragas,IG vs JD Gaming,Invictus Gaming,1 - 2,JD Gaming,WEEK7,12.12,2022-07-18,1,369,TOP,3,2,8,5.5,212,7,11547,380,19.5%,0,0,0,21366.16,2614.39,15152.7,3599.07,703,23.5%,0.36,57.9%,35432.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,IG vs JD Gaming,Invictus Gaming,1 - 2,JD Gaming,WEEK7,12.12,2022-07-18,1,Kanavi,JUNGLE,6,0,7,Perfect KDA,199,6.5,12410,408,21%,0,0,0,16662.49,13446.5,1500.15,1715.84,548,18.3%,0.43,68.4%,22431.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,IG vs JD Gaming,Invictus Gaming,1 - 2,JD Gaming,WEEK7,12.12,2022-07-18,1,Yagao,MID,1,0,9,Perfect KDA,255,8.4,11416,376,19.3%,0,0,0,21232.12,778.14,19193.1,1260.88,699,23.3%,0.33,52.6%,9653.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,IG vs JD Gaming,Invictus Gaming,1 - 2,JD Gaming,WEEK7,12.12,2022-07-18,1,Hope,ADC,8,1,6,14,261,8.6,15285,503,25.9%,0,0,0,22208.9,18703.5,2581.74,923.66,731,24.4%,0.46,73.7%,9076.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,IG vs JD Gaming,Invictus Gaming,1 - 2,JD Gaming,WEEK7,12.12,2022-07-18,1,Missing,SUPPORT,1,3,13,4.7,15,0.5,8407,277,14.2%,0,0,0,9613.03,611.37,4074.33,4927.33,316,10.6%,0.46,73.7%,15914.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
