Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,IG vs LNG Esports,Invictus Gaming,0 - 2,LNG Esports,WEEK5,12.11,2022-07-05,2,Ale,TOP,4,5,6,2,216,8.1,12359,462,22.1%,0,0,0,9722.67,8371.93,1122.8,227.94,363,16.2%,0.37,45.5%,17485.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,IG vs LNG Esports,Invictus Gaming,0 - 2,LNG Esports,WEEK5,12.11,2022-07-05,2,Tarzan,JUNGLE,3,0,12,Perfect KDA,152,5.7,9821,367,17.5%,0,0,0,9096.49,5719.26,1741.17,1636.06,340,15.1%,0.56,68.2%,14294.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gragas,IG vs LNG Esports,Invictus Gaming,0 - 2,LNG Esports,WEEK5,12.11,2022-07-05,2,Doinb,MID,4,1,11,15,230,8.6,10781,403,19.3%,0,0,0,17034.7,1024.7,15685,325,637,28.3%,0.56,68.2%,20332.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,IG vs LNG Esports,Invictus Gaming,0 - 2,LNG Esports,WEEK5,12.11,2022-07-05,2,Light,ADC,9,1,5,14,261,9.8,14760,552,26.4%,0,0,0,20177.3,16741.2,1951.85,1484.25,754,33.6%,0.52,63.6%,6424.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,IG vs LNG Esports,Invictus Gaming,0 - 2,LNG Esports,WEEK5,12.11,2022-07-05,2,Iwandy,SUPPORT,2,0,13,Perfect KDA,47,1.8,8272,309,14.8%,0,0,0,4097.58,980.14,2116.07,1001.37,153,6.8%,0.56,68.2%,3877.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiora,IG vs LNG Esports,Invictus Gaming,0 - 2,LNG Esports,WEEK5,12.11,2022-07-05,2,Zika,TOP,3,4,1,1,235,8.8,10788,403,24.1%,0,0,0,7370.11,4828.71,545.36,1996.04,276,19.8%,0.15,57.1%,16692.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,IG vs LNG Esports,Invictus Gaming,0 - 2,LNG Esports,WEEK5,12.11,2022-07-05,2,XUN,JUNGLE,1,5,3,0.8,152,5.7,8890,332,19.8%,0,0,0,3313.53,2697.46,363.57,252.5,124,8.9%,0.15,57.1%,25208.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,IG vs LNG Esports,Invictus Gaming,0 - 2,LNG Esports,WEEK5,12.11,2022-07-05,2,Yuekai,MID,2,2,2,2,240,9,9861,369,22%,0,0,0,16880.84,1151.19,15672.7,56.95,631,45.4%,0.15,57.1%,14557.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,IG vs LNG Esports,Invictus Gaming,0 - 2,LNG Esports,WEEK5,12.11,2022-07-05,2,Wink,ADC,1,4,0,0.3,219,8.2,9626,360,21.5%,0,0,0,6676.18,6240.43,180.58,255.17,250,17.9%,0.04,14.3%,12960.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amumu,IG vs LNG Esports,Invictus Gaming,0 - 2,LNG Esports,WEEK5,12.11,2022-07-05,2,XinLiu,SUPPORT,0,7,2,0.3,45,1.7,5642,211,12.6%,0,0,0,2968.61,428.51,2006.63,533.47,111,8%,0.07,28.6%,15110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
