Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Kayle,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.10,2022-06-10,2,TheShy,TOP,1,8,1,0.3,270,8.4,11254,350,22.4%,0,0,0,19648.96,8466.36,8867.64,2314.96,611,28.5%,0.06,66.7%,25646.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.10,2022-06-10,2,SofM,JUNGLE,1,3,1,0.7,209,6.5,9819,305,19.6%,0,0,0,8254.87,7003.04,495.76,756.07,257,12%,0.06,66.7%,37408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoe,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.10,2022-06-10,2,Angel,MID,0,1,1,1,238,7.4,9736,303,19.4%,0,0,0,14636.51,770.45,10898.1,2967.96,455,21.2%,0.03,33.3%,9378.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seraphine,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.10,2022-06-10,2,huanfeng,ADC,0,1,2,2,256,8,10707,333,21.3%,0,0,0,8944.44,604.88,7896.56,443,278,13%,0.06,66.7%,11678.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.10,2022-06-10,2,ON,SUPPORT,1,6,2,0.5,64,2,8656,269,17.3%,0,0,0,17496.88,17286.1,0,210.78,544,25.4%,0.09,100%,23259.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riven,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.10,2022-06-10,2,Zika,TOP,8,1,5,13,300,9.3,15863,493,23.4%,0,0,0,16987.7,16935.7,0,52,528,20.3%,0.4,68.4%,25931.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.10,2022-06-10,2,XUN,JUNGLE,4,0,10,Perfect KDA,194,6,12603,392,18.6%,0,0,0,14411.96,11046.1,2909.86,456,448,17.2%,0.44,73.7%,25451.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.10,2022-06-10,2,Yuekai,MID,2,1,10,12,280,8.7,14553,453,21.5%,0,0,0,16632.4,392.62,15698.3,541.48,517,19.9%,0.37,63.2%,13687.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.10,2022-06-10,2,Wink,ADC,4,1,7,11,313,9.7,15992,497,23.6%,0,0,0,27127.42,14446.4,11222.6,1458.42,844,32.4%,0.34,57.9%,12679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.10,2022-06-10,2,XinLiu,SUPPORT,1,0,13,Perfect KDA,46,1.4,8704,271,12.9%,0,0,0,8551.69,778.95,6530.74,1242,266,10.2%,0.44,73.7%,17770.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
