Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,JD Gaming vs BLG,JD Gaming,2 - 1,Bilibili Gaming,WEEK7,12.13,2022-07-23,2,Bin,TOP,4,5,5,1.8,278,9.3,14166,471,24.2%,0,0,0,18466.56,12390.8,4178.46,1897.3,615,25.5%,0.3,64.3%,28305.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,JD Gaming vs BLG,JD Gaming,2 - 1,Bilibili Gaming,WEEK7,12.13,2022-07-23,2,can,JUNGLE,0,2,6,3,136,4.5,8876,295,15.1%,0,0,0,4418.15,3891.16,438.49,88.5,147,6.1%,0.2,42.9%,27741.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,JD Gaming vs BLG,JD Gaming,2 - 1,Bilibili Gaming,WEEK7,12.13,2022-07-23,2,icon,MID,3,1,5,8,274,9.1,13171,438,22.5%,0,0,0,15069.36,634.95,10902,3532.41,501,20.8%,0.27,57.1%,12106.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sivir,JD Gaming vs BLG,JD Gaming,2 - 1,Bilibili Gaming,WEEK7,12.13,2022-07-23,2,Rise,ADC,7,4,5,3,284,9.5,14984,499,25.5%,0,0,0,25362.55,23011.9,293.57,2057.08,844,35%,0.4,85.7%,14406.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuumi,JD Gaming vs BLG,JD Gaming,2 - 1,Bilibili Gaming,WEEK7,12.13,2022-07-23,2,Crisp,SUPPORT,0,2,10,5,13,0.4,7450,248,12.7%,0,0,0,9063.47,730.08,7879.39,454,302,12.5%,0.33,71.4%,6129.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gragas,JD Gaming vs BLG,JD Gaming,2 - 1,Bilibili Gaming,WEEK7,12.13,2022-07-23,2,369,TOP,1,4,7,2,219,7.3,10422,347,21%,0,0,0,18803.37,1824.27,16979.1,0,626,29.7%,0.27,57.1%,30930.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,JD Gaming vs BLG,JD Gaming,2 - 1,Bilibili Gaming,WEEK7,12.13,2022-07-23,2,Kanavi,JUNGLE,2,3,8,3.3,147,4.9,8901,296,17.9%,0,0,0,11261.73,8552.34,1569.39,1140,375,17.8%,0.33,71.4%,23349.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,JD Gaming vs BLG,JD Gaming,2 - 1,Bilibili Gaming,WEEK7,12.13,2022-07-23,2,Yagao,MID,2,2,7,4.5,240,8,10570,352,21.3%,0,0,0,10951.4,726,10225.4,0,364,17.3%,0.3,64.3%,14493.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,JD Gaming vs BLG,JD Gaming,2 - 1,Bilibili Gaming,WEEK7,12.13,2022-07-23,2,Hope,ADC,6,3,4,3.3,270,9,12440,414,25%,0,0,0,17347.81,15719.7,1522.11,106,577,27.4%,0.33,71.4%,13513.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,JD Gaming vs BLG,JD Gaming,2 - 1,Bilibili Gaming,WEEK7,12.13,2022-07-23,2,Missing,SUPPORT,3,2,7,5,23,0.8,7356,245,14.8%,0,0,0,4977.97,835.85,3694.12,448,166,7.9%,0.33,71.4%,9928.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
