Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Fiora,JD Gaming vs LGD Gaming,LGD Gaming,1 - 2,JD Gaming,WEEK2,12.10,2022-06-14,1,fearness,TOP,5,1,3,8,286,8.4,16541,483,25.2%,0,0,0,19595.52,10264.6,1807.3,7523.62,572,30.6%,0.23,57.1%,30811.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,JD Gaming vs LGD Gaming,LGD Gaming,1 - 2,JD Gaming,WEEK2,12.10,2022-06-14,1,Shad0w,JUNGLE,3,0,9,Perfect KDA,183,5.3,11780,344,18%,0,0,0,7780.63,5621.61,1523.95,635.07,227,12.2%,0.35,85.7%,27446.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,JD Gaming vs LGD Gaming,LGD Gaming,1 - 2,JD Gaming,WEEK2,12.10,2022-06-14,1,YeG,MID,2,1,3,5,288,8.4,13357,390,20.4%,0,0,0,15404.78,106.46,14677.7,620.62,450,24.1%,0.15,35.7%,25372.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,JD Gaming vs LGD Gaming,LGD Gaming,1 - 2,JD Gaming,WEEK2,12.10,2022-06-14,1,Assum,ADC,3,2,8,5.5,338,9.9,15591,455,23.8%,0,0,0,16653.19,12609.7,3865.33,178.16,486,26%,0.32,78.6%,15657.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,JD Gaming vs LGD Gaming,LGD Gaming,1 - 2,JD Gaming,WEEK2,12.10,2022-06-14,1,jinjiao,SUPPORT,1,3,11,4,36,1.1,8296,242,12.7%,0,0,0,4525.94,1147.2,2828.74,550,132,7.1%,0.35,85.7%,14420.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennen,JD Gaming vs LGD Gaming,LGD Gaming,1 - 2,JD Gaming,WEEK2,12.10,2022-06-14,1,369,TOP,2,3,4,2,279,8.1,13704,400,23.2%,0,0,0,27279.78,4290.48,22638.8,350.5,796,36.1%,0.18,85.7%,20284.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,JD Gaming vs LGD Gaming,LGD Gaming,1 - 2,JD Gaming,WEEK2,12.10,2022-06-14,1,Kanavi,JUNGLE,2,3,3,1.7,204,6,10962,320,18.6%,0,0,0,7579,5936.88,1007.29,634.83,221,10%,0.15,71.4%,24374.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,JD Gaming vs LGD Gaming,LGD Gaming,1 - 2,JD Gaming,WEEK2,12.10,2022-06-14,1,Yagao,MID,0,3,4,1.3,294,8.6,12473,364,21.1%,0,0,0,14217.14,1228.44,7562.91,5425.79,415,18.8%,0.12,57.1%,16838.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,JD Gaming vs LGD Gaming,LGD Gaming,1 - 2,JD Gaming,WEEK2,12.10,2022-06-14,1,Hope,ADC,3,2,3,3,330,9.6,14437,422,24.4%,0,0,0,23307.87,15297.6,7522.19,488.08,681,30.9%,0.18,85.7%,11033.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistar,JD Gaming vs LGD Gaming,LGD Gaming,1 - 2,JD Gaming,WEEK2,12.10,2022-06-14,1,Missing,SUPPORT,0,3,4,1.3,41,1.2,7497,219,12.7%,0,0,0,3156.85,228.02,1951.07,977.76,92,4.2%,0.12,57.1%,16294.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
