Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,JD Gaming vs Rare Atom,JD Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-11,1,369,TOP,4,1,12,16,273,9.1,14413,481,24.6%,0,0,0,26248.57,21799.7,4052.87,396,876,35.3%,0.53,84.2%,32326.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,JD Gaming vs Rare Atom,JD Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-11,1,Kanavi,JUNGLE,7,1,7,14,146,4.9,10791,360,18.4%,0,0,0,10407.23,7522.06,2329.17,556,347,14%,0.47,73.7%,16032.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,JD Gaming vs Rare Atom,JD Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-11,1,Yagao,MID,1,0,11,Perfect KDA,260,8.7,11727,391,20%,0,0,0,17322.43,491.13,16831.3,0,578,23.3%,0.4,63.2%,9894.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,JD Gaming vs Rare Atom,JD Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-11,1,Hope,ADC,6,1,7,13,271,9,13321,445,22.8%,0,0,0,16890.67,14908.3,1574.37,408,564,22.7%,0.43,68.4%,7904.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,JD Gaming vs Rare Atom,JD Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-11,1,Missing,SUPPORT,1,2,14,7.5,48,1.6,8282,276,14.1%,0,0,0,3524.74,356.07,2466.67,702,118,4.7%,0.5,78.9%,8273.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen,JD Gaming vs Rare Atom,JD Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-11,1,Cube,TOP,0,5,2,0.4,213,7.1,8839,295,17.7%,0,0,0,12506.03,2024.79,6723.82,3757.42,417,27.2%,0.07,40%,26021.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,JD Gaming vs Rare Atom,JD Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-11,1,Leyan,JUNGLE,2,4,2,1,202,6.7,10163,339,20.4%,0,0,0,7877.71,7054.16,175.43,648.12,263,17.2%,0.13,80%,32662.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,JD Gaming vs Rare Atom,JD Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-11,1,Strive,MID,2,1,0,2,284,9.5,12015,401,24.1%,0,0,0,8641.2,490.47,5980.79,2169.94,288,18.8%,0.07,40%,10784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,JD Gaming vs Rare Atom,JD Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-11,1,iBOY,ADC,1,4,3,1,298,9.9,12722,425,25.5%,0,0,0,11483.69,11227.9,239.89,15.9,383,25%,0.13,80%,15121.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amumu,JD Gaming vs Rare Atom,JD Gaming,2 - 1,Rare Atom,WEEK6,12.12,2022-07-11,1,yuyanjia,SUPPORT,0,5,4,0.8,30,1,6193,207,12.4%,0,0,0,5419.07,600.93,3532.8,1285.34,181,11.8%,0.13,80%,14153.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
