Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sion,JD Gaming vs TT,JD Gaming,2 - 0,TT,WEEK4,12.11,2022-06-27,2,369,TOP,1,5,7,1.6,235,7.1,12015,362,18.9%,0,0,0,14926.09,8208.25,6712.84,5,450,15.7%,0.24,50%,47250.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vi,JD Gaming vs TT,JD Gaming,2 - 0,TT,WEEK4,12.11,2022-06-27,2,Kanavi,JUNGLE,1,7,10,1.6,168,5.1,10611,320,16.7%,0,0,0,9438.33,8587.83,0,850.5,285,9.9%,0.33,68.8%,28327.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,JD Gaming vs TT,JD Gaming,2 - 0,TT,WEEK4,12.11,2022-06-27,2,Yagao,MID,1,3,9,3.3,285,8.6,12957,391,20.3%,0,0,0,13595.28,1028.45,9856.82,2710.01,410,14.3%,0.3,62.5%,19791.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,JD Gaming vs TT,JD Gaming,2 - 0,TT,WEEK4,12.11,2022-06-27,2,Hope,ADC,12,3,3,5,319,9.6,19272,581,30.3%,0,0,0,38380.1,22859.2,14382.9,1138,1157,40.3%,0.45,93.8%,20508.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuumi,JD Gaming vs TT,JD Gaming,2 - 0,TT,WEEK4,12.11,2022-06-27,2,Missing,SUPPORT,1,2,15,8,3,0.1,8834,266,13.9%,0,0,0,18864.89,1145.22,16967.7,751.97,569,19.8%,0.48,100%,7223.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sejuani,JD Gaming vs TT,JD Gaming,2 - 0,TT,WEEK4,12.11,2022-06-27,2,xiaoxiang,TOP,3,5,9,2.4,241,7.3,11990,362,19.6%,0,0,0,20465.05,11381.5,9083.55,0,617,21.4%,0.36,60%,38232.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,JD Gaming vs TT,JD Gaming,2 - 0,TT,WEEK4,12.11,2022-06-27,2,Beichuan,JUNGLE,6,2,8,7,212,6.4,12755,385,20.9%,0,0,0,16430.2,14141.3,1852.4,436.5,495,17.2%,0.42,70%,33767.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,JD Gaming vs TT,JD Gaming,2 - 0,TT,WEEK4,12.11,2022-06-27,2,Ucal,MID,6,3,6,4,278,8.4,13937,420,22.8%,0,0,0,15902.25,1137.35,14764.9,0,479,16.6%,0.36,60%,20806.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,JD Gaming vs TT,JD Gaming,2 - 0,TT,WEEK4,12.11,2022-06-27,2,Puff,ADC,5,4,7,3,281,8.5,14541,438,23.8%,0,0,0,35112.2,23832.3,9141.67,2138.23,1059,36.7%,0.36,60%,17316.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seraphine,JD Gaming vs TT,JD Gaming,2 - 0,TT,WEEK4,12.11,2022-06-27,2,Southwind,SUPPORT,0,2,13,6.5,36,1.1,7939,239,13%,0,0,0,7765.54,1338.91,6426.63,0,234,8.1%,0.39,65%,13239.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
