Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gragas,JD Gaming vs Top Esports,Top Esports,1 - 2,JD Gaming,WEEK1,12.10,2022-06-11,3,369,TOP,3,0,6,Perfect KDA,193,7.8,9596,386,18.9%,0,0,0,14481.21,1346.41,13134.8,0,582,23.7%,0.36,36%,14241.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,JD Gaming vs Top Esports,Top Esports,1 - 2,JD Gaming,WEEK1,12.10,2022-06-11,3,Kanavi,JUNGLE,6,1,8,14,148,5.9,9966,401,19.6%,0,0,0,11018.17,7666.22,2760.45,591.5,443,18%,0.56,56%,20759.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galio,JD Gaming vs Top Esports,Top Esports,1 - 2,JD Gaming,WEEK1,12.10,2022-06-11,3,Yagao,MID,4,1,12,16,171,6.9,9741,391,19.1%,0,0,0,9598,97.44,9500.56,0,386,15.7%,0.64,64%,12341.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,JD Gaming vs Top Esports,Top Esports,1 - 2,JD Gaming,WEEK1,12.10,2022-06-11,3,Hope,ADC,11,2,8,9.5,234,9.4,13053,525,25.7%,0,0,0,17890.12,12264.9,5360.36,264.86,719,29.3%,0.76,76%,11489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,JD Gaming vs Top Esports,Top Esports,1 - 2,JD Gaming,WEEK1,12.10,2022-06-11,3,Missing,SUPPORT,1,0,22,Perfect KDA,8,0.3,8530,343,16.8%,0,0,0,8075.72,1177.26,6412.46,486,325,13.2%,0.92,92%,6844.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayle,JD Gaming vs Top Esports,Top Esports,1 - 2,JD Gaming,WEEK1,12.10,2022-06-11,3,Wayward,TOP,0,3,1,0.3,207,8.3,7992,321,22.2%,0,0,0,10644.42,3655.57,6846.08,142.77,428,28.7%,0.04,25%,17722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,JD Gaming vs Top Esports,Top Esports,1 - 2,JD Gaming,WEEK1,12.10,2022-06-11,3,Tian,JUNGLE,1,4,2,0.8,134,5.4,6963,280,19.3%,0,0,0,6454.2,5544.9,276.38,632.92,259,17.4%,0.12,75%,21270.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vex,JD Gaming vs Top Esports,Top Esports,1 - 2,JD Gaming,WEEK1,12.10,2022-06-11,3,Knight,MID,3,3,1,1.3,166,6.7,8502,342,23.6%,0,0,0,9735.02,1245.58,8335.88,153.56,391,26.2%,0.16,100%,8676.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draven,JD Gaming vs Top Esports,Top Esports,1 - 2,JD Gaming,WEEK1,12.10,2022-06-11,3,JackeyLove,ADC,0,7,3,0.4,179,7.2,7586,305,21.1%,0,0,0,6684.66,6528.26,0,156.4,269,18%,0.12,75%,13296.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,JD Gaming vs Top Esports,Top Esports,1 - 2,JD Gaming,WEEK1,12.10,2022-06-11,3,Mark,SUPPORT,0,8,3,0.4,36,1.4,4984,200,13.8%,0,0,0,3585.74,578.98,2241.55,765.21,144,9.7%,0.12,75%,15850.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
