Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,369,TOP,3,2,8,5.5,288,9.9,13645,469,23%,0,0,0,17997.25,2262.28,9898.89,5836.08,619,23.3%,0.38,61.1%,20333.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Kanavi,JUNGLE,9,1,7,16,207,7.1,13895,478,23.4%,0,0,0,15930.1,12703,1922.1,1305,548,20.6%,0.55,88.9%,28367.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryze,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Yagao,MID,2,1,9,11,290,10,12599,433,21.2%,0,0,0,12278.58,706.78,11537.8,34,422,15.9%,0.38,61.1%,19090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Hope,ADC,3,2,11,7,241,8.3,11874,408,20%,0,0,0,23827.36,16884,5971.36,972,819,30.9%,0.48,77.8%,14881.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Missing,SUPPORT,1,0,9,Perfect KDA,37,1.3,7359,253,12.4%,0,0,0,7122.56,3200,3116.56,806,245,9.2%,0.34,55.6%,15491.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Zoom,TOP,1,3,2,1,287,9.9,11498,395,24.1%,0,0,0,11007.92,8981.81,1834.11,192,378,17.6%,0.1,50%,24367.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,H4cker,JUNGLE,2,4,3,1.3,103,3.5,7724,266,16.2%,0,0,0,7567.99,4972.25,1783.74,812,260,12.1%,0.17,83.3%,29039.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Cryin,MID,1,2,3,2,285,9.8,11521,396,24.1%,0,0,0,20304.73,2523.43,17004,777.3,698,32.5%,0.14,66.7%,12735.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xayah,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Elk,ADC,2,4,2,1,273,9.4,11267,387,23.6%,0,0,0,19738.47,18318.4,1348.07,72,679,31.6%,0.14,66.7%,13594.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistar,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,ShiauC,SUPPORT,0,5,3,0.6,30,1,5758,198,12.1%,0,0,0,3855.88,638.98,2414.9,802,133,6.2%,0.1,50%,14968.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
