Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,JD Gaming vs V5,JD Gaming,2 - 0,Victory Five,WEEK8,12.13,2022-07-26,1,369,TOP,5,3,10,5,270,8.9,13603,446,22.3%,0,0,0,27185.16,2505.09,15449.5,9230.57,892,31.2%,0.49,62.5%,33211.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vi,JD Gaming vs V5,JD Gaming,2 - 0,Victory Five,WEEK8,12.13,2022-07-26,1,Kanavi,JUNGLE,6,3,11,5.7,146,4.8,11666,383,19.1%,0,0,0,13188.14,10811,1422.14,955,433,15.1%,0.56,70.8%,22432.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,JD Gaming vs V5,JD Gaming,2 - 0,Victory Five,WEEK8,12.13,2022-07-26,1,Yagao,MID,6,2,5,5.5,256,8.4,12939,425,21.2%,0,0,0,16800.79,1092.62,11779.1,3929.07,551,19.3%,0.36,45.8%,13381.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,JD Gaming vs V5,JD Gaming,2 - 0,Victory Five,WEEK8,12.13,2022-07-26,1,Hope,ADC,5,2,10,7.5,284,9.3,14057,461,23%,0,0,0,23045.67,21141.1,1002.17,902.4,756,26.5%,0.49,62.5%,12867.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,JD Gaming vs V5,JD Gaming,2 - 0,Victory Five,WEEK8,12.13,2022-07-26,1,Missing,SUPPORT,2,1,16,18,38,1.2,8848,290,14.5%,0,0,0,6892.92,1251.67,4248.97,1392.28,226,7.9%,0.59,75%,10968.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank,JD Gaming vs V5,JD Gaming,2 - 0,Victory Five,WEEK8,12.13,2022-07-26,1,Rich,TOP,1,5,4,1,225,7.4,10795,354,21.4%,0,0,0,25307.71,15015.7,6328.31,3963.7,831,37.3%,0.16,45.5%,27421.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,JD Gaming vs V5,JD Gaming,2 - 0,Victory Five,WEEK8,12.13,2022-07-26,1,Karsa,JUNGLE,2,5,6,1.6,142,4.7,9100,299,18.1%,0,0,0,6748.47,4645.84,1416.53,686.1,222,9.9%,0.26,72.7%,21105.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,JD Gaming vs V5,JD Gaming,2 - 0,Victory Five,WEEK8,12.13,2022-07-26,1,RooKie,MID,3,4,4,1.8,214,7,10158,333,20.2%,0,0,0,14531.2,1412.62,12833.3,285.28,477,21.4%,0.23,63.6%,24040.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,JD Gaming vs V5,JD Gaming,2 - 0,Victory Five,WEEK8,12.13,2022-07-26,1,Photic,ADC,2,5,7,1.8,316,10.4,13202,433,26.2%,0,0,0,14924.29,11225.8,2877.88,820.61,490,22%,0.3,81.8%,19812.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amumu,JD Gaming vs V5,JD Gaming,2 - 0,Victory Five,WEEK8,12.13,2022-07-26,1,Ppgod,SUPPORT,3,5,6,1.8,31,1,7138,234,14.2%,0,0,0,6394.17,924.77,4370.88,1098.52,210,9.4%,0.3,81.8%,16155.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
