Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sejuani,LGD Gaming vs BLG,LGD Gaming,1 - 2,Bilibili Gaming,WEEK6,12.12,2022-07-13,3,Chelizi,TOP,0,4,4,1,215,7.6,9205,324,19.9%,0,0,0,8235.1,3930.2,3290.9,1014,290,16.4%,0.14,66.7%,20579.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,LGD Gaming vs BLG,LGD Gaming,1 - 2,Bilibili Gaming,WEEK6,12.12,2022-07-13,3,Shad0w,JUNGLE,3,4,2,1.3,141,5,8793,309,19%,0,0,0,10326.64,8477.59,1010.55,838.5,363,20.6%,0.18,83.3%,27924.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,LGD Gaming vs BLG,LGD Gaming,1 - 2,Bilibili Gaming,WEEK6,12.12,2022-07-13,3,YeG,MID,2,3,3,1.7,235,8.3,11153,392,24.1%,0,0,0,11407.17,1492.92,9914.25,0,401,22.7%,0.18,83.3%,24108.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,LGD Gaming vs BLG,LGD Gaming,1 - 2,Bilibili Gaming,WEEK6,12.12,2022-07-13,3,Assum,ADC,0,5,1,0.2,295,10.4,10897,383,23.6%,0,0,0,15185.53,12639.1,1024.05,1522.38,534,30.2%,0.04,16.7%,13961.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,LGD Gaming vs BLG,LGD Gaming,1 - 2,Bilibili Gaming,WEEK6,12.12,2022-07-13,3,jinjiao,SUPPORT,1,1,2,3,12,0.4,6193,218,13.4%,0,0,0,5050.73,993.18,3569.55,488,178,10.1%,0.11,50%,7010.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,LGD Gaming vs BLG,LGD Gaming,1 - 2,Bilibili Gaming,WEEK6,12.12,2022-07-13,3,Bin,TOP,3,3,6,3,277,9.7,13394,471,23.7%,0,0,0,16219.43,13224.7,2960.73,34,570,21.5%,0.32,52.9%,19794.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,LGD Gaming vs BLG,LGD Gaming,1 - 2,Bilibili Gaming,WEEK6,12.12,2022-07-13,3,can,JUNGLE,7,1,4,11,167,5.9,11450,403,20.2%,0,0,0,13213.83,11441.6,1040.66,731.57,465,17.5%,0.39,64.7%,30521.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,LGD Gaming vs BLG,LGD Gaming,1 - 2,Bilibili Gaming,WEEK6,12.12,2022-07-13,3,FoFo,MID,3,1,10,13,280,9.8,12606,443,22.3%,0,0,0,23421.5,348.7,23072.8,0,824,31.1%,0.46,76.5%,10018.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,LGD Gaming vs BLG,LGD Gaming,1 - 2,Bilibili Gaming,WEEK6,12.12,2022-07-13,3,Rise,ADC,3,1,7,10,258,9.1,11799,415,20.9%,0,0,0,16354.95,14269.9,1402.55,682.5,575,21.7%,0.35,58.8%,9935.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,LGD Gaming vs BLG,LGD Gaming,1 - 2,Bilibili Gaming,WEEK6,12.12,2022-07-13,3,Crisp,SUPPORT,1,0,11,Perfect KDA,31,1.1,7340,258,13%,0,0,0,6185.85,409.24,5510.61,266,218,8.2%,0.42,70.6%,10998.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
