Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Akali,LGD Gaming vs TT,LGD Gaming,1 - 2,TT,WEEK9,12.13,2022-08-03,2,xiaoxiang,TOP,4,3,5,3,277,7.6,14292,390,20.1%,0,0,0,20067.06,1173.19,17155.4,1738.47,548,30.1%,0.25,52.9%,27381.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,LGD Gaming vs TT,LGD Gaming,1 - 2,TT,WEEK9,12.13,2022-08-03,2,Beichuan,JUNGLE,3,1,6,9,183,5,11932,326,16.8%,0,0,0,8287.4,5935.94,1615.46,736,226,12.4%,0.25,52.9%,22452.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,LGD Gaming vs TT,LGD Gaming,1 - 2,TT,WEEK9,12.13,2022-08-03,2,Ucal,MID,5,2,6,5.5,342,9.3,16540,452,23.3%,0,0,0,15806.65,197.65,15609,0,432,23.7%,0.3,64.7%,25739.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,LGD Gaming vs TT,LGD Gaming,1 - 2,TT,WEEK9,12.13,2022-08-03,2,Kepler,ADC,4,0,9,Perfect KDA,391,10.7,19222,525,27.1%,0,0,0,19513.4,17786.1,1403.3,324,533,29.3%,0.36,76.5%,14523.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,LGD Gaming vs TT,LGD Gaming,1 - 2,TT,WEEK9,12.13,2022-08-03,2,yaoyao,SUPPORT,1,2,11,6,36,1,8966,245,12.6%,0,0,0,2900.22,387.65,1896.57,616,79,4.4%,0.33,70.6%,11790.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen,LGD Gaming vs TT,LGD Gaming,1 - 2,TT,WEEK9,12.13,2022-08-03,2,fearness,TOP,0,4,4,1,301,8.2,12476,341,20.4%,0,0,0,11317.03,1226.7,6649.47,3440.86,309,16%,0.11,50%,24548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle,LGD Gaming vs TT,LGD Gaming,1 - 2,TT,WEEK9,12.13,2022-08-03,2,Shad0w,JUNGLE,2,3,4,2,135,3.7,9978,272,16.4%,0,0,0,7490.19,4555.76,1996.43,938,205,10.6%,0.16,75%,25626.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryze,LGD Gaming vs TT,LGD Gaming,1 - 2,TT,WEEK9,12.13,2022-08-03,2,YeG,MID,2,2,2,2,319,8.7,14473,395,23.7%,0,0,0,17631.24,1013.34,16503.9,114,482,24.9%,0.11,50%,11776.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sivir,LGD Gaming vs TT,LGD Gaming,1 - 2,TT,WEEK9,12.13,2022-08-03,2,Eric,ADC,4,4,2,1.5,394,10.8,16775,458,27.5%,0,0,0,30072.51,27286.1,168.57,2617.84,821,42.5%,0.16,75%,12816.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,LGD Gaming vs TT,LGD Gaming,1 - 2,TT,WEEK9,12.13,2022-08-03,2,jinjiao,SUPPORT,0,4,6,1.5,37,1,7319,200,12%,0,0,0,4264.22,958.98,3305.24,0,116,6%,0.16,75%,16330.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
