Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Fiora,LGD Gaming vs Team WE,LGD Gaming,2 - 1,Team WE,WEEK8,12.13,2022-07-27,1,fearness,TOP,0,3,5,1.7,281,8.2,14415,419,22.4%,0,0,0,13927.02,7777.02,1357.1,4792.9,405,22.3%,0.15,50%,24898.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,LGD Gaming vs Team WE,LGD Gaming,2 - 1,Team WE,WEEK8,12.13,2022-07-27,1,Kui,JUNGLE,3,0,6,Perfect KDA,198,5.8,11834,344,18.4%,0,0,0,6029.66,4681.98,903.18,444.5,175,9.6%,0.26,90%,24984.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,LGD Gaming vs Team WE,LGD Gaming,2 - 1,Team WE,WEEK8,12.13,2022-07-27,1,Haichao,MID,5,0,4,Perfect KDA,274,8,13608,396,21.2%,0,0,0,16627.02,1970.76,11564.9,3091.36,484,26.6%,0.26,90%,9156.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,LGD Gaming vs Team WE,LGD Gaming,2 - 1,Team WE,WEEK8,12.13,2022-07-27,1,Assum,ADC,1,2,6,3.5,360,10.5,15468,450,24.1%,0,0,0,19275.04,17230.8,1459.71,584.53,561,30.8%,0.2,70%,13965.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,LGD Gaming vs Team WE,LGD Gaming,2 - 1,Team WE,WEEK8,12.13,2022-07-27,1,jinjiao,SUPPORT,1,0,7,Perfect KDA,23,0.7,8896,259,13.9%,0,0,0,6681.86,759.3,5548.56,374,194,10.7%,0.23,80%,5427.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jax,LGD Gaming vs Team WE,LGD Gaming,2 - 1,Team WE,WEEK8,12.13,2022-07-27,1,Demon,TOP,1,5,1,0.4,272,7.9,11712,341,21.4%,0,0,0,9819.55,6820.39,2999.16,0,286,21.1%,0.06,40%,21686.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,LGD Gaming vs Team WE,LGD Gaming,2 - 1,Team WE,WEEK8,12.13,2022-07-27,1,View,JUNGLE,1,2,2,1.5,146,4.2,8936,260,16.3%,0,0,0,5507.57,4828,485.57,194,160,11.8%,0.09,60%,21935.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,LGD Gaming vs Team WE,LGD Gaming,2 - 1,Team WE,WEEK8,12.13,2022-07-27,1,Shanks,MID,1,1,1,2,295,8.6,11777,343,21.5%,0,0,0,8265.54,0,7979.37,286.17,241,17.7%,0.06,40%,21764.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,LGD Gaming vs Team WE,LGD Gaming,2 - 1,Team WE,WEEK8,12.13,2022-07-27,1,Xing,ADC,2,0,2,Perfect KDA,405,11.8,15540,452,28.4%,0,0,0,20768.56,8889.26,11879.3,0,604,44.5%,0.12,80%,13735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,LGD Gaming vs Team WE,LGD Gaming,2 - 1,Team WE,WEEK8,12.13,2022-07-27,1,Kedaya,SUPPORT,0,2,3,1.5,35,1,6837,199,12.5%,0,0,0,2263.03,507.07,1755.96,0,66,4.9%,0.09,60%,7272.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
