Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,LGD Gaming vs Ultra Prime,LGD Gaming,1 - 2,Ultra Prime,WEEK6,12.12,2022-07-17,2,Zoom,TOP,0,3,1,0.3,239,9,9065,342,22.4%,0,0,0,14946.85,11145.8,3801.05,0,564,37.9%,0.04,50%,18263.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,LGD Gaming vs Ultra Prime,LGD Gaming,1 - 2,Ultra Prime,WEEK6,12.12,2022-07-17,2,H4cker,JUNGLE,2,2,0,1,141,5.3,8246,311,20.4%,0,0,0,3309.47,2617.81,491.66,200,125,8.4%,0.08,100%,15709.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viktor,LGD Gaming vs Ultra Prime,LGD Gaming,1 - 2,Ultra Prime,WEEK6,12.12,2022-07-17,2,Cryin,MID,0,2,1,0.5,245,9.3,9248,349,22.8%,0,0,0,11476.81,323.81,11153,0,433,29.1%,0.04,50%,9115.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,LGD Gaming vs Ultra Prime,LGD Gaming,1 - 2,Ultra Prime,WEEK6,12.12,2022-07-17,2,Elk,ADC,0,4,1,0.3,227,8.6,8793,332,21.7%,0,0,0,7826.58,4074.47,3752.11,0,296,19.8%,0.04,50%,10698.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistar,LGD Gaming vs Ultra Prime,LGD Gaming,1 - 2,Ultra Prime,WEEK6,12.12,2022-07-17,2,ShiauC,SUPPORT,0,5,0,0,35,1.3,5143,194,12.7%,0,0,0,1887.71,240.99,1196.72,450,71,4.8%,0,0%,12723.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sejuani,LGD Gaming vs Ultra Prime,LGD Gaming,1 - 2,Ultra Prime,WEEK6,12.12,2022-07-17,2,fearness,TOP,2,1,8,10,237,8.9,10606,400,18.9%,0,0,0,9020.15,5385.96,3157.3,476.89,341,18.8%,0.38,62.5%,23483.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,LGD Gaming vs Ultra Prime,LGD Gaming,1 - 2,Ultra Prime,WEEK6,12.12,2022-07-17,2,Kui,JUNGLE,4,1,5,9,151,5.7,10083,381,17.9%,0,0,0,7077.75,4477.75,2027.19,572.81,267,14.7%,0.34,56.3%,17452.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,LGD Gaming vs Ultra Prime,LGD Gaming,1 - 2,Ultra Prime,WEEK6,12.12,2022-07-17,2,Haichao,MID,5,0,6,Perfect KDA,273,10.3,13474,509,24%,0,0,0,16181.3,2530.11,12377.1,1274.09,611,33.7%,0.42,68.8%,9604.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,LGD Gaming vs Ultra Prime,LGD Gaming,1 - 2,Ultra Prime,WEEK6,12.12,2022-07-17,2,Assum,ADC,4,0,5,Perfect KDA,280,10.6,14362,542,25.5%,0,0,0,11348.56,10364.7,949.85,34.01,429,23.6%,0.34,56.3%,7303.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amumu,LGD Gaming vs Ultra Prime,LGD Gaming,1 - 2,Ultra Prime,WEEK6,12.12,2022-07-17,2,jinjiao,SUPPORT,1,0,13,Perfect KDA,41,1.5,7721,292,13.7%,0,0,0,4423.26,664.77,3348.83,409.66,167,9.2%,0.53,87.5%,6412.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
