Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Renekton,LGD Gaming vs V5,LGD Gaming,0 - 2,Victory Five,WEEK2,12.10,2022-06-18,1,fearness,TOP,3,5,7,2,366,7.3,17721,353,20.4%,0,0,0,22536.05,19841.4,2694.65,0,449,15.7%,0.2,52.6%,67929.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,LGD Gaming vs V5,LGD Gaming,0 - 2,Victory Five,WEEK2,12.10,2022-06-18,1,Shad0w,JUNGLE,4,3,12,5.3,291,5.8,17623,351,20.3%,0,0,0,45188.8,517.4,41767.6,2903.8,900,31.5%,0.32,84.2%,23775.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,LGD Gaming vs V5,LGD Gaming,0 - 2,Victory Five,WEEK2,12.10,2022-06-18,1,YeG,MID,1,6,6,1.2,338,6.7,17074,340,19.7%,0,0,0,27625.33,197.73,27252.6,175,550,19.3%,0.14,36.8%,39218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,LGD Gaming vs V5,LGD Gaming,0 - 2,Victory Five,WEEK2,12.10,2022-06-18,1,Assum,ADC,9,6,7,2.7,413,8.2,22758,453,26.2%,0,0,0,40726.55,32594.6,7387.95,744,811,28.4%,0.32,84.2%,39410.8,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Nautilus,LGD Gaming vs V5,LGD Gaming,0 - 2,Victory Five,WEEK2,12.10,2022-06-18,1,jinjiao,SUPPORT,2,8,11,1.6,31,0.6,11530,230,13.3%,0,0,0,7254.93,1791.35,4227.58,1236,144,5.1%,0.26,68.4%,35806.8,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Gangplank,LGD Gaming vs V5,LGD Gaming,0 - 2,Victory Five,WEEK2,12.10,2022-06-18,1,Rich,TOP,7,3,11,6,404,8,24319,484,25.3%,0,0,0,58011.98,43010,8649.42,6352.56,1155,34.3%,0.36,64.3%,38521.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,LGD Gaming vs V5,LGD Gaming,0 - 2,Victory Five,WEEK2,12.10,2022-06-18,1,XLB,JUNGLE,9,1,9,18,243,4.8,18018,359,18.8%,0,0,0,25850.43,21278.5,3117.29,1454.64,515,15.3%,0.36,64.3%,51050.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBlanc,LGD Gaming vs V5,LGD Gaming,0 - 2,Victory Five,WEEK2,12.10,2022-06-18,1,Dream,MID,5,2,9,7,408,8.1,21330,425,22.2%,0,0,0,39334.26,1410.36,37298.9,625,783,23.3%,0.28,50%,23960.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,LGD Gaming vs V5,LGD Gaming,0 - 2,Victory Five,WEEK2,12.10,2022-06-18,1,Ppgod,ADC,1,7,11,1.7,247,4.9,15069,300,15.7%,0,0,0,7454.48,249.87,6261.97,942.64,148,4.4%,0.24,42.9%,48276.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,LGD Gaming vs V5,LGD Gaming,0 - 2,Victory Five,WEEK2,12.10,2022-06-18,1,Photic,SUPPORT,6,6,13,3.2,142,2.8,17202,342,17.9%,0,0,0,38485.3,33239.8,689.01,4556.49,766,22.8%,0.38,67.9%,21056.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
