Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,LNG Esports vs AL,LNG Esports,2 - 0,Anyone s Legend,WEEK2,12.10,2022-06-15,1,Ale,TOP,2,2,10,6,354,9.7,15969,439,22.3%,0,0,0,24619.51,2052.93,16554.4,6012.18,676,30%,0.33,75%,27884.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sejuani,LNG Esports vs AL,LNG Esports,2 - 0,Anyone s Legend,WEEK2,12.10,2022-06-15,1,Tarzan,JUNGLE,4,4,10,3.5,204,5.6,13289,365,18.6%,0,0,0,10843.22,5120.83,5192.52,529.87,298,13.2%,0.38,87.5%,37852.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kled,LNG Esports vs AL,LNG Esports,2 - 0,Anyone s Legend,WEEK2,12.10,2022-06-15,1,Doinb,MID,4,2,10,7,295,8.1,15353,422,21.5%,0,0,0,16439.5,16439.5,0,0,452,20%,0.38,87.5%,34386.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,LNG Esports vs AL,LNG Esports,2 - 0,Anyone s Legend,WEEK2,12.10,2022-06-15,1,Light,ADC,5,1,5,10,373,10.2,18109,498,25.3%,0,0,0,26244.86,24365.3,1183.3,696.26,721,32%,0.27,62.5%,6337.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,LNG Esports vs AL,LNG Esports,2 - 0,Anyone s Legend,WEEK2,12.10,2022-06-15,1,Iwandy,SUPPORT,1,4,6,1.8,42,1.2,8739,240,12.2%,0,0,0,3990.68,729.71,2558.97,702,110,4.9%,0.19,43.8%,15511.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank,LNG Esports vs AL,LNG Esports,2 - 0,Anyone s Legend,WEEK2,12.10,2022-06-15,1,Zdz,TOP,4,4,7,2.8,330,9.1,17950,493,27.9%,0,0,0,31068.69,18635.1,8590.14,3843.45,854,38.6%,0.3,84.6%,19654.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,LNG Esports vs AL,LNG Esports,2 - 0,Anyone s Legend,WEEK2,12.10,2022-06-15,1,Xiaohao,JUNGLE,3,3,5,2.7,177,4.9,10542,290,16.4%,0,0,0,10101.58,7326.39,1055.99,1719.2,278,12.5%,0.22,61.5%,28120.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,LNG Esports vs AL,LNG Esports,2 - 0,Anyone s Legend,WEEK2,12.10,2022-06-15,1,Forge,MID,2,5,10,2.4,292,8,12883,354,20%,0,0,0,17561.75,957.15,16604.6,0,482,21.8%,0.33,92.3%,26422.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,LNG Esports vs AL,LNG Esports,2 - 0,Anyone s Legend,WEEK2,12.10,2022-06-15,1,Betty,ADC,4,2,5,4.5,365,10,15601,429,24.2%,0,0,0,17030.47,12495.5,1350.65,3184.32,468,21.2%,0.25,69.2%,19227.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,LNG Esports vs AL,LNG Esports,2 - 0,Anyone s Legend,WEEK2,12.10,2022-06-15,1,Qiuqiu,SUPPORT,0,2,12,6,26,0.7,7386,203,11.5%,0,0,0,4757.67,517.82,3437.85,802,131,5.9%,0.33,92.3%,8920.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
