Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sion,LNG Esports vs BLG,LNG Esports,2 - 1,Bilibili Gaming,WEEK1,12.10,2022-06-12,1,Ale,TOP,0,2,7,3.5,178,6.8,8417,320,16.8%,0,0,0,9461.28,6355.61,3103.67,2,359,17.1%,0.27,58.3%,19710.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,LNG Esports vs BLG,LNG Esports,2 - 1,Bilibili Gaming,WEEK1,12.10,2022-06-12,1,Tarzan,JUNGLE,3,1,6,9,149,5.7,9359,355,18.6%,0,0,0,6956.65,6161.99,556.66,238,264,12.6%,0.34,75%,23085.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,LNG Esports vs BLG,LNG Esports,2 - 1,Bilibili Gaming,WEEK1,12.10,2022-06-12,1,Doinb,MID,4,0,8,Perfect KDA,284,10.8,14089,535,28%,0,0,0,23588.71,3247.16,19227.1,1114.45,896,42.6%,0.46,100%,7315.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,LNG Esports vs BLG,LNG Esports,2 - 1,Bilibili Gaming,WEEK1,12.10,2022-06-12,1,Light,ADC,5,2,5,5,230,8.7,11489,436,22.9%,0,0,0,11412.91,7348.14,3837.3,227.47,433,20.6%,0.38,83.3%,11455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,LNG Esports vs BLG,LNG Esports,2 - 1,Bilibili Gaming,WEEK1,12.10,2022-06-12,1,Iwandy,SUPPORT,0,2,11,5.5,11,0.4,6885,261,13.7%,0,0,0,3893.86,734.55,2665.31,494,148,7%,0.42,91.7%,6057.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camille,LNG Esports vs BLG,LNG Esports,2 - 1,Bilibili Gaming,WEEK1,12.10,2022-06-12,1,Bin,TOP,0,3,3,1,221,8.4,10518,399,23.8%,0,0,0,12858.49,8242.93,179.36,4436.2,488,31.4%,0.11,42.9%,21285.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,LNG Esports vs BLG,LNG Esports,2 - 1,Bilibili Gaming,WEEK1,12.10,2022-06-12,1,WeiWei,JUNGLE,3,3,2,1.7,148,5.6,8713,331,19.7%,0,0,0,8279.63,5839.88,1744.19,695.56,314,20.2%,0.19,71.4%,23158.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galio,LNG Esports vs BLG,LNG Esports,2 - 1,Bilibili Gaming,WEEK1,12.10,2022-06-12,1,FoFo,MID,1,2,3,2,222,8.4,8856,336,20.1%,0,0,0,9610.5,142.68,9419.9,47.92,365,23.5%,0.15,57.1%,13791.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,LNG Esports vs BLG,LNG Esports,2 - 1,Bilibili Gaming,WEEK1,12.10,2022-06-12,1,Doggo,ADC,1,2,4,2.5,238,9,9798,372,22.2%,0,0,0,6931.98,6485.91,446.07,0,263,16.9%,0.19,71.4%,9652.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,LNG Esports vs BLG,LNG Esports,2 - 1,Bilibili Gaming,WEEK1,12.10,2022-06-12,1,Crisp,SUPPORT,2,2,3,2.5,32,1.2,6237,237,14.1%,0,0,0,3298.94,608.92,1998.02,692,125,8.1%,0.19,71.4%,10467.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
