Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,LNG Esports vs EDG,LNG Esports,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-26,1,Ale,TOP,0,4,4,1,238,7.7,10928,353,20.7%,0,0,0,14640.97,12788,1852.97,0,473,25.3%,0.13,26.7%,23370.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skarner,LNG Esports vs EDG,LNG Esports,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-26,1,Tarzan,JUNGLE,2,4,8,2.5,141,4.6,9397,303,17.8%,0,0,0,5302.18,1861.84,2624.34,816,171,9.2%,0.32,66.7%,21172.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,LNG Esports vs EDG,LNG Esports,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-26,1,Doinb,MID,1,3,12,4.3,225,7.3,10348,334,19.6%,0,0,0,13453.86,998.16,12455.7,0,434,23.3%,0.42,86.7%,25299.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,LNG Esports vs EDG,LNG Esports,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-26,1,Light,ADC,10,4,3,3.3,248,8,14549,470,27.6%,0,0,0,19366.47,16904.9,1802.92,658.65,625,33.5%,0.42,86.7%,13601.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,LNG Esports vs EDG,LNG Esports,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-26,1,LvMao,SUPPORT,2,5,12,2.8,9,0.3,7571,244,14.3%,0,0,0,5028.34,1320.55,3160.99,546.8,162,8.7%,0.45,93.3%,12738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gragas,LNG Esports vs EDG,LNG Esports,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-26,1,Flandre,TOP,5,1,7,12,259,8.4,14989,484,23.9%,0,0,0,17780.07,972.41,16152.1,655.56,574,22.7%,0.39,60%,21684.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,LNG Esports vs EDG,LNG Esports,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-26,1,JunJia,JUNGLE,1,5,10,2.2,124,4,9569,309,15.2%,0,0,0,8321.93,6079.12,1455.47,787.34,269,10.6%,0.36,55%,21466.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,LNG Esports vs EDG,LNG Esports,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-26,1,Scout,MID,6,1,8,14,282,9.1,14599,471,23.2%,0,0,0,22516.73,836.53,21542.2,138,727,28.8%,0.45,70%,12002.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,LNG Esports vs EDG,LNG Esports,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-26,1,Viper,ADC,7,4,10,4.3,279,9,15418,498,24.5%,0,0,0,23561.05,20740.2,2246.85,574,760,30.1%,0.55,85%,17373.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blitzcrank,LNG Esports vs EDG,LNG Esports,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-26,1,meiko,SUPPORT,1,4,13,3.5,34,1.1,8256,266,13.1%,0,0,0,6102.11,1792.92,3459.19,850,197,7.8%,0.45,70%,14696.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
