Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Ornn,LNG Esports vs JD Gaming,LNG Esports,1 - 2,JD Gaming,WEEK5,12.12,2022-07-08,1,Ale,TOP,1,0,12,Perfect KDA,232,7.5,11116,360,19.4%,0,0,0,11223.71,3536.44,7687.27,0,363,16.9%,0.42,72.2%,23880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,LNG Esports vs JD Gaming,LNG Esports,1 - 2,JD Gaming,WEEK5,12.12,2022-07-08,1,Tarzan,JUNGLE,4,0,7,Perfect KDA,135,4.4,9970,323,17.4%,0,0,0,9917.25,7937.39,1471.36,508.5,321,14.9%,0.36,61.1%,23314.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,LNG Esports vs JD Gaming,LNG Esports,1 - 2,JD Gaming,WEEK5,12.12,2022-07-08,1,Doinb,MID,3,3,9,4,257,8.3,11930,386,20.8%,0,0,0,19862.06,273.46,19588.6,0,643,29.8%,0.39,66.7%,14733.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,LNG Esports vs JD Gaming,LNG Esports,1 - 2,JD Gaming,WEEK5,12.12,2022-07-08,1,Light,ADC,7,0,8,Perfect KDA,284,9.2,15293,495,26.7%,0,0,0,19730.63,16772.3,2958.33,0,639,29.6%,0.49,83.3%,9924.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,LNG Esports vs JD Gaming,LNG Esports,1 - 2,JD Gaming,WEEK5,12.12,2022-07-08,1,Iwandy,SUPPORT,3,0,15,Perfect KDA,42,1.4,9009,292,15.7%,0,0,0,5834.58,1239.87,3868.97,725.74,189,8.8%,0.58,100%,7646.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sejuani,LNG Esports vs JD Gaming,LNG Esports,1 - 2,JD Gaming,WEEK5,12.12,2022-07-08,1,369,TOP,0,4,3,0.8,210,6.8,9392,304,19.5%,0,0,0,13202.36,6701.82,5511.69,988.85,427,24.1%,0.1,100%,28139.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,LNG Esports vs JD Gaming,LNG Esports,1 - 2,JD Gaming,WEEK5,12.12,2022-07-08,1,Kanavi,JUNGLE,1,3,1,0.7,196,6.3,9679,313,20.1%,0,0,0,9482.26,7272.69,1271.58,937.99,307,17.3%,0.06,66.7%,24669.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,LNG Esports vs JD Gaming,LNG Esports,1 - 2,JD Gaming,WEEK5,12.12,2022-07-08,1,Yagao,MID,2,4,1,0.8,254,8.2,11487,372,23.9%,0,0,0,21593.78,303.4,20535.6,754.78,699,39.3%,0.1,100%,13803.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,LNG Esports vs JD Gaming,LNG Esports,1 - 2,JD Gaming,WEEK5,12.12,2022-07-08,1,Hope,ADC,0,3,1,0.3,265,8.6,11175,362,23.2%,0,0,0,8453.31,8060.75,319.89,72.67,274,15.4%,0.03,33.3%,10010.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,LNG Esports vs JD Gaming,LNG Esports,1 - 2,JD Gaming,WEEK5,12.12,2022-07-08,1,Missing,SUPPORT,0,4,3,0.8,13,0.4,6356,206,13.2%,0,0,0,2156.65,406.02,1550.63,200,70,3.9%,0.1,100%,8851.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
