Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,LNG Esports vs LGD Gaming,LNG Esports,2 - 1,LGD Gaming,WEEK4,12.11,2022-07-02,3,Ale,TOP,1,4,8,2.3,444,7.9,22538,402,21.7%,0,0,0,26674.46,21820.5,3764.75,1089.21,476,16.5%,0.16,47.4%,39328.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,LNG Esports vs LGD Gaming,LNG Esports,2 - 1,LGD Gaming,WEEK4,12.11,2022-07-02,3,Tarzan,JUNGLE,7,1,7,14,306,5.5,20092,358,19.3%,0,0,0,22734.99,17312.2,3030.74,2392.05,406,14.1%,0.25,73.7%,45703.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,LNG Esports vs LGD Gaming,LNG Esports,2 - 1,LGD Gaming,WEEK4,12.11,2022-07-02,3,Doinb,MID,7,3,9,5.3,488,8.7,24407,435,23.5%,0,0,0,47254.72,1013.42,44141.3,2100,843,29.2%,0.29,84.2%,17809.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,LNG Esports vs LGD Gaming,LNG Esports,2 - 1,LGD Gaming,WEEK4,12.11,2022-07-02,3,Light,ADC,4,3,10,4.7,470,8.4,25053,447,24.1%,0,0,0,58776.1,25926.8,22822.3,10027,1049,36.3%,0.25,73.7%,21408.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,LNG Esports vs LGD Gaming,LNG Esports,2 - 1,LGD Gaming,WEEK4,12.11,2022-07-02,3,Iwandy,SUPPORT,0,9,9,1,41,0.7,11857,212,11.4%,0,0,0,6268.48,616.71,5501.77,150,112,3.9%,0.16,47.4%,31035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayle,LNG Esports vs LGD Gaming,LNG Esports,2 - 1,LGD Gaming,WEEK4,12.11,2022-07-02,3,Chelizi,TOP,6,3,7,4.3,569,10.2,27155,484,26.8%,0,0,0,37416.8,16655.2,16253.4,4508.2,668,30.8%,0.23,65%,29880.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,LNG Esports vs LGD Gaming,LNG Esports,2 - 1,LGD Gaming,WEEK4,12.11,2022-07-02,3,Shad0w,JUNGLE,5,2,7,6,292,5.2,18492,330,18.2%,0,0,0,15099.97,12101.7,2051.33,946.94,269,12.4%,0.21,60%,43610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,LNG Esports vs LGD Gaming,LNG Esports,2 - 1,LGD Gaming,WEEK4,12.11,2022-07-02,3,YeG,MID,1,5,9,2,356,6.4,18118,323,17.9%,0,0,0,20620.63,928.43,18527.1,1165.1,368,17%,0.18,50%,37445.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,LNG Esports vs LGD Gaming,LNG Esports,2 - 1,LGD Gaming,WEEK4,12.11,2022-07-02,3,Assum,ADC,7,3,11,6,491,8.8,24740,441,24.4%,0,0,0,38525.53,32527.1,4802.52,1195.91,687,31.7%,0.32,90%,40726.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amumu,LNG Esports vs LGD Gaming,LNG Esports,2 - 1,LGD Gaming,WEEK4,12.11,2022-07-02,3,jinjiao,SUPPORT,1,6,15,2.7,40,0.7,12846,229,12.7%,0,0,0,9701.42,1057.31,6103.65,2540.46,173,8%,0.29,80%,43706.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
