Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,LNG Esports vs TT,LNG Esports,2 - 1,TT,WEEK2,12.10,2022-06-19,1,Ale,TOP,3,4,7,2.5,268,7.9,12830,376,19.9%,0,0,0,16407.24,14070,2118.43,218.81,481,19.8%,0.29,71.4%,25613.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,LNG Esports vs TT,LNG Esports,2 - 1,TT,WEEK2,12.10,2022-06-19,1,Tarzan,JUNGLE,0,1,12,12,210,6.2,11016,323,17.1%,0,0,0,9092.38,6713.69,1202.57,1176.12,267,10.9%,0.35,85.7%,29734.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,LNG Esports vs TT,LNG Esports,2 - 1,TT,WEEK2,12.10,2022-06-19,1,Doinb,MID,3,1,10,13,354,10.4,17011,499,26.4%,0,0,0,34595.49,3365.4,29293.1,1936.99,1015,41.7%,0.38,92.9%,14367.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,LNG Esports vs TT,LNG Esports,2 - 1,TT,WEEK2,12.10,2022-06-19,1,Light,ADC,7,3,6,4.3,294,8.6,15395,452,23.9%,0,0,0,19606.52,17152.1,1582.19,872.23,575,23.6%,0.38,92.9%,10045.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,LNG Esports vs TT,LNG Esports,2 - 1,TT,WEEK2,12.10,2022-06-19,1,Iwandy,SUPPORT,1,3,12,4.3,38,1.1,8223,241,12.8%,0,0,0,3358.17,435.8,2185.03,737.34,99,4%,0.38,92.9%,12231.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camille,LNG Esports vs TT,LNG Esports,2 - 1,TT,WEEK2,12.10,2022-06-19,1,xiaoxiang,TOP,3,3,2,1.7,242,7.1,12394,364,20.7%,0,0,0,13598.33,8658.59,1490.54,3449.2,399,23%,0.15,41.7%,29247.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graves,LNG Esports vs TT,LNG Esports,2 - 1,TT,WEEK2,12.10,2022-06-19,1,Beichuan,JUNGLE,0,3,5,1.7,264,7.7,11703,343,19.5%,0,0,0,7810.97,7156.9,567.07,87,229,13.2%,0.15,41.7%,19034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisted Fate,LNG Esports vs TT,LNG Esports,2 - 1,TT,WEEK2,12.10,2022-06-19,1,Ucal,MID,1,3,5,2,229,6.7,12427,365,20.7%,0,0,0,13644.05,781.67,12698.9,163.48,400,23%,0.18,50%,17188.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,LNG Esports vs TT,LNG Esports,2 - 1,TT,WEEK2,12.10,2022-06-19,1,Puff,ADC,7,2,3,5,289,8.5,14911,437,24.9%,0,0,0,16482.03,14787,1391.03,304,484,27.8%,0.29,83.3%,16311.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,LNG Esports vs TT,LNG Esports,2 - 1,TT,WEEK2,12.10,2022-06-19,1,Southwind,SUPPORT,1,3,9,3.3,42,1.2,8489,249,14.2%,0,0,0,7703.81,714.04,6161.17,828.6,226,13%,0.29,83.3%,22672.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
