Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,LNG Esports vs Top Esports,LNG Esports,0 - 2,Top Esports,WEEK4,12.11,2022-06-28,2,Wayward,TOP,1,3,2,1,209,8.5,10785,437,19.8%,0,0,0,11134.96,8359.43,1581.67,1193.86,451,14.9%,0.12,15.8%,18150.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,LNG Esports vs Top Esports,LNG Esports,0 - 2,Top Esports,WEEK4,12.11,2022-06-28,2,Tian,JUNGLE,2,1,9,11,167,6.8,9786,396,18%,0,0,0,6363,5515.33,657.74,189.93,258,8.5%,0.45,57.9%,20973.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,LNG Esports vs Top Esports,LNG Esports,0 - 2,Top Esports,WEEK4,12.11,2022-06-28,2,Knight,MID,10,0,9,Perfect KDA,241,9.8,13358,541,24.5%,0,0,0,27628.47,2182.83,19173,6272.64,1119,36.9%,0.77,100%,14168.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,LNG Esports vs Top Esports,LNG Esports,0 - 2,Top Esports,WEEK4,12.11,2022-06-28,2,JackeyLove,ADC,6,0,7,Perfect KDA,231,9.4,14027,568,25.8%,0,0,0,26705.35,19661.7,5574.03,1469.62,1081,35.6%,0.53,68.4%,7903.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,LNG Esports vs Top Esports,LNG Esports,0 - 2,Top Esports,WEEK4,12.11,2022-06-28,2,Mark,SUPPORT,0,2,8,4,43,1.7,6505,263,11.9%,0,0,0,3132.5,922.3,1548.64,661.56,127,4.2%,0.32,42.1%,10014.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiora,LNG Esports vs Top Esports,LNG Esports,0 - 2,Top Esports,WEEK4,12.11,2022-06-28,2,Ale,TOP,1,1,3,4,226,9.1,9330,378,24.5%,0,0,0,8542.43,5885.69,859.98,1796.76,346,20.3%,0.16,66.7%,19656.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle,LNG Esports vs Top Esports,LNG Esports,0 - 2,Top Esports,WEEK4,12.11,2022-06-28,2,Tarzan,JUNGLE,3,4,3,1.5,105,4.3,7530,305,19.8%,0,0,0,7323.53,5207.2,1681.83,434.5,296,17.4%,0.24,100%,24248.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,LNG Esports vs Top Esports,LNG Esports,0 - 2,Top Esports,WEEK4,12.11,2022-06-28,2,Doinb,MID,1,3,3,1.3,192,7.8,8004,324,21%,0,0,0,11229.47,1380.12,9849.35,0,455,26.7%,0.16,66.7%,18824.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xayah,LNG Esports vs Top Esports,LNG Esports,0 - 2,Top Esports,WEEK4,12.11,2022-06-28,2,Light,ADC,1,6,3,0.7,207,8.4,8231,333,21.6%,0,0,0,10722.38,9421.65,1300.73,0,434,25.5%,0.16,66.7%,14545.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakan,LNG Esports vs Top Esports,LNG Esports,0 - 2,Top Esports,WEEK4,12.11,2022-06-28,2,Iwandy,SUPPORT,0,5,4,0.8,32,1.3,4993,202,13.1%,0,0,0,4312.18,533.59,3120.59,658,175,10.2%,0.16,66.7%,15511.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
