Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,LNG Esports vs Ultra Prime,LNG Esports,2 - 0,Ultra Prime,WEEK7,12.12,2022-07-19,1,PandaC,TOP,2,3,5,2.3,259,8,12797,395,19.9%,0,0,0,21873.62,3422.18,12405.3,6046.14,675,27.6%,0.22,33.3%,27697.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,LNG Esports vs Ultra Prime,LNG Esports,2 - 0,Ultra Prime,WEEK7,12.12,2022-07-19,1,Tarzan,JUNGLE,8,0,6,Perfect KDA,186,5.7,12758,394,19.8%,0,0,0,11682.41,8303.48,3131.93,247,361,14.8%,0.43,66.7%,22609.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,LNG Esports vs Ultra Prime,LNG Esports,2 - 0,Ultra Prime,WEEK7,12.12,2022-07-19,1,Doinb,MID,4,0,8,Perfect KDA,308,9.5,15072,465,23.4%,0,0,0,19979.77,1470.01,18359.4,150.36,617,25.2%,0.37,57.1%,28226.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,LNG Esports vs Ultra Prime,LNG Esports,2 - 0,Ultra Prime,WEEK7,12.12,2022-07-19,1,Light,ADC,3,2,9,6,314,9.7,14003,432,21.8%,0,0,0,19225.38,13219.8,5581.36,424.22,593,24.3%,0.37,57.1%,16355.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,LNG Esports vs Ultra Prime,LNG Esports,2 - 0,Ultra Prime,WEEK7,12.12,2022-07-19,1,LvMao,SUPPORT,4,1,15,19,36,1.1,9719,300,15.1%,0,0,0,6403.45,803.44,4992.19,607.82,198,8.1%,0.59,90.5%,6790.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tryndamere,LNG Esports vs Ultra Prime,LNG Esports,2 - 0,Ultra Prime,WEEK7,12.12,2022-07-19,1,Zoom,TOP,2,2,2,2,300,9.3,12889,398,25.3%,0,0,0,15718.12,15047.4,670.72,0,485,24.1%,0.12,66.7%,29752.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,LNG Esports vs Ultra Prime,LNG Esports,2 - 0,Ultra Prime,WEEK7,12.12,2022-07-19,1,H4cker,JUNGLE,0,4,5,1.3,159,4.9,8908,275,17.5%,0,0,0,7563.14,5691.38,563.54,1308.22,233,11.6%,0.15,83.3%,27488.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,LNG Esports vs Ultra Prime,LNG Esports,2 - 0,Ultra Prime,WEEK7,12.12,2022-07-19,1,Cryin,MID,2,4,1,0.8,273,8.4,11501,355,22.6%,0,0,0,21479.71,1194.31,20227.4,58,663,33%,0.09,50%,16780.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,LNG Esports vs Ultra Prime,LNG Esports,2 - 0,Ultra Prime,WEEK7,12.12,2022-07-19,1,Elk,ADC,2,5,1,0.6,258,8,10706,330,21%,0,0,0,14983.67,12509.9,1303.58,1170.19,462,23%,0.09,50%,15058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,LNG Esports vs Ultra Prime,LNG Esports,2 - 0,Ultra Prime,WEEK7,12.12,2022-07-19,1,ShiauC,SUPPORT,0,6,3,0.5,29,0.9,6884,212,13.5%,0,0,0,5386.68,925.81,3091.09,1369.78,166,8.3%,0.09,50%,13474.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
