Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,OMG vs AL,OMG,2 - 0,Anyone s Legend,WEEK8,12.13,2022-07-27,2,Zdz,TOP,2,2,8,5,319,9.3,14184,412,23.4%,0,0,0,16739.3,13870.6,2868.7,0,486,24.7%,0.29,83.3%,20870.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,OMG vs AL,OMG,2 - 0,Anyone s Legend,WEEK8,12.13,2022-07-27,2,Xiaohao,JUNGLE,5,2,6,5.5,176,5.1,11629,338,19.2%,0,0,0,9860.31,8132.47,1238.84,489,286,14.6%,0.32,91.7%,26438.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,OMG vs AL,OMG,2 - 0,Anyone s Legend,WEEK8,12.13,2022-07-27,2,Forge,MID,3,1,8,11,277,8,12855,373,21.2%,0,0,0,18725.34,1277.51,16764.3,683.53,544,27.6%,0.32,91.7%,10180.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,OMG vs AL,OMG,2 - 0,Anyone s Legend,WEEK8,12.13,2022-07-27,2,Betty,ADC,2,0,7,Perfect KDA,358,10.4,14424,419,23.8%,0,0,0,20528.9,8799.3,11505.6,224,596,30.3%,0.26,75%,6811.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,OMG vs AL,OMG,2 - 0,Anyone s Legend,WEEK8,12.13,2022-07-27,2,Qiuqiu,SUPPORT,0,3,10,3.3,46,1.3,7477,217,12.3%,0,0,0,1897.7,291.77,1605.93,0,55,2.8%,0.29,83.3%,10756.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shyvana,OMG vs AL,OMG,2 - 0,Anyone s Legend,WEEK8,12.13,2022-07-27,2,shanji,TOP,0,3,5,1.7,306,8.9,12936,376,20.3%,0,0,0,13615.07,1973.07,11642,0,395,25.1%,0.15,62.5%,31783.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,OMG vs AL,OMG,2 - 0,Anyone s Legend,WEEK8,12.13,2022-07-27,2,AKi,JUNGLE,1,3,5,2,192,5.6,10687,310,16.8%,0,0,0,5341.89,4376.61,733.28,232,155,9.9%,0.17,75%,23751.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,OMG vs AL,OMG,2 - 0,Anyone s Legend,WEEK8,12.13,2022-07-27,2,Creme,MID,2,0,4,Perfect KDA,355,10.3,15502,450,24.4%,0,0,0,12469.24,1999.04,10404.2,66,362,23%,0.17,75%,16752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tristana,OMG vs AL,OMG,2 - 0,Anyone s Legend,WEEK8,12.13,2022-07-27,2,Able,ADC,4,3,3,2.3,361,10.5,16784,487,26.4%,0,0,0,19253.92,14621,2480.65,2152.27,559,35.6%,0.2,87.5%,15624.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,OMG vs AL,OMG,2 - 0,Anyone s Legend,WEEK8,12.13,2022-07-27,2,cold,SUPPORT,1,3,6,2.3,38,1.1,7716,224,12.1%,0,0,0,3462.24,606.97,1947.27,908,101,6.4%,0.2,87.5%,10019.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
