Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Shyvana,OMG vs EDG,OMG,2 - 1,Edward Gaming,WEEK5,12.11,2022-07-04,3,shanji,TOP,2,0,6,Perfect KDA,223,8.5,10563,405,20.5%,0,0,0,10261.08,2617.32,7361.76,282,393,21.4%,0.31,53.3%,28249.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,OMG vs EDG,OMG,2 - 1,Edward Gaming,WEEK5,12.11,2022-07-04,3,AKi,JUNGLE,1,2,5,3,139,5.3,8404,322,16.3%,0,0,0,4348.79,3781.5,285.29,282,167,9.1%,0.23,40%,23964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,OMG vs EDG,OMG,2 - 1,Edward Gaming,WEEK5,12.11,2022-07-04,3,Creme,MID,6,0,3,Perfect KDA,279,10.7,13282,509,25.8%,0,0,0,14436.33,1915.01,12295.8,225.52,553,30.1%,0.34,60%,12574.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tristana,OMG vs EDG,OMG,2 - 1,Edward Gaming,WEEK5,12.11,2022-07-04,3,Able,ADC,6,3,3,3,246,9.4,12113,464,23.6%,0,0,0,12698.56,10212.7,1103.49,1382.37,487,26.4%,0.34,60%,16031.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuumi,OMG vs EDG,OMG,2 - 1,Edward Gaming,WEEK5,12.11,2022-07-04,3,cold,SUPPORT,0,1,14,14,5,0.2,7040,270,13.7%,0,0,0,6265.78,454.4,5365.38,446,240,13.1%,0.54,93.3%,4094.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,OMG vs EDG,OMG,2 - 1,Edward Gaming,WEEK5,12.11,2022-07-04,3,Flandre,TOP,2,3,0,0.7,242,9.3,9538,365,22.7%,0,0,0,13639.76,11348.7,2111.06,180,523,27.1%,0.08,33.3%,16221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,OMG vs EDG,OMG,2 - 1,Edward Gaming,WEEK5,12.11,2022-07-04,3,Jiejie,JUNGLE,1,4,2,0.8,153,5.9,7968,305,19%,0,0,0,4626.85,3737.81,856.54,32.5,177,9.2%,0.11,50%,20799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,OMG vs EDG,OMG,2 - 1,Edward Gaming,WEEK5,12.11,2022-07-04,3,Scout,MID,0,2,4,2,219,8.4,9541,366,22.7%,0,0,0,12948.05,250.65,12697.4,0,496,25.7%,0.15,66.7%,11831.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,OMG vs EDG,OMG,2 - 1,Edward Gaming,WEEK5,12.11,2022-07-04,3,Viper,ADC,2,3,0,0.7,223,8.5,9144,350,21.8%,0,0,0,11590.47,7050.34,3588.13,952,444,23%,0.08,33.3%,8801.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karma,OMG vs EDG,OMG,2 - 1,Edward Gaming,WEEK5,12.11,2022-07-04,3,meiko,SUPPORT,1,3,3,1.3,20,0.8,5807,222,13.8%,0,0,0,7507.76,657.24,6226.52,624,288,14.9%,0.15,66.7%,8534.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
