Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,OMG vs FPX,OMG,2 - 1,Funplus Phoenix,WEEK6,12.12,2022-07-17,2,Summit,TOP,0,4,3,0.8,304,8.2,14596,394,23.3%,0,0,0,26499.1,15456.5,8341.59,2701.01,716,30.6%,0.08,50%,24034.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,OMG vs FPX,OMG,2 - 1,Funplus Phoenix,WEEK6,12.12,2022-07-17,2,Clid,JUNGLE,4,3,1,1.7,197,5.3,11942,323,19.1%,0,0,0,12569.74,10139.8,1741.94,688,340,14.5%,0.14,83.3%,28499.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,OMG vs FPX,OMG,2 - 1,Funplus Phoenix,WEEK6,12.12,2022-07-17,2,Care,MID,1,3,0,0.3,284,7.7,12914,349,20.6%,0,0,0,11159.85,1479.15,9680.7,0,302,12.9%,0.03,16.7%,23694.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,OMG vs FPX,OMG,2 - 1,Funplus Phoenix,WEEK6,12.12,2022-07-17,2,Hang,ADC,1,3,2,1,240,6.5,11503,311,18.4%,0,0,0,9938.41,558.75,7868.96,1510.7,269,11.5%,0.08,50%,32729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,OMG vs FPX,OMG,2 - 1,Funplus Phoenix,WEEK6,12.12,2022-07-17,2,Lwx,SUPPORT,0,4,5,1.3,116,3.1,11584,313,18.5%,0,0,0,26445.49,24349.8,0,2095.69,715,30.5%,0.14,83.3%,18613.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen,OMG vs FPX,OMG,2 - 1,Funplus Phoenix,WEEK6,12.12,2022-07-17,2,shanji,TOP,6,1,5,11,348,9.4,17061,461,24.4%,0,0,0,20790.49,2205.23,11931.3,6653.96,562,22.9%,0.3,64.7%,30879.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,OMG vs FPX,OMG,2 - 1,Funplus Phoenix,WEEK6,12.12,2022-07-17,2,AKi,JUNGLE,1,1,8,9,156,4.2,10474,283,15%,0,0,0,7651.35,5710.53,1287.06,653.76,207,8.4%,0.24,52.9%,30782.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akali,OMG vs FPX,OMG,2 - 1,Funplus Phoenix,WEEK6,12.12,2022-07-17,2,Creme,MID,4,1,7,11,272,7.4,15520,419,22.2%,0,0,0,24914.57,1716.97,22889.6,308,673,27.4%,0.3,64.7%,20905.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,OMG vs FPX,OMG,2 - 1,Funplus Phoenix,WEEK6,12.12,2022-07-17,2,Able,ADC,5,3,9,4.7,378,10.2,17660,477,25.3%,0,0,0,31138.39,28515.7,2110.69,512,842,34.2%,0.38,82.4%,25517.8,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Lulu,OMG vs FPX,OMG,2 - 1,Funplus Phoenix,WEEK6,12.12,2022-07-17,2,Jerry,SUPPORT,1,0,14,Perfect KDA,17,0.5,9195,249,13.2%,0,0,0,6491.93,832.58,4793.35,866,175,7.1%,0.41,88.2%,10017.5,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
