Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,OMG vs JD Gaming,OMG,1 - 2,JD Gaming,WEEK3,12.10,2022-06-20,1,shanji,TOP,3,1,10,13,254,9.2,13166,478,22%,0,0,0,21159.19,13977.3,4233.91,2947.98,769,32.9%,0.47,68.4%,21506.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,OMG vs JD Gaming,OMG,1 - 2,JD Gaming,WEEK3,12.10,2022-06-20,1,AKi,JUNGLE,4,1,8,12,174,6.3,10919,397,18.2%,0,0,0,6174.83,5184.72,871.61,118.5,224,9.6%,0.44,63.2%,16026.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,OMG vs JD Gaming,OMG,1 - 2,JD Gaming,WEEK3,12.10,2022-06-20,1,Creme,MID,3,0,8,Perfect KDA,280,10.2,13391,487,22.3%,0,0,0,17978.84,2154.46,14858.2,966.18,653,27.9%,0.4,57.9%,12021.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai,OMG vs JD Gaming,OMG,1 - 2,JD Gaming,WEEK3,12.10,2022-06-20,1,Able,ADC,8,1,5,13,262,9.5,15068,548,25.1%,0,0,0,15288.35,10347.5,2740.08,2200.77,556,23.8%,0.47,68.4%,11150.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,OMG vs JD Gaming,OMG,1 - 2,JD Gaming,WEEK3,12.10,2022-06-20,1,cold,SUPPORT,1,0,14,Perfect KDA,32,1.2,7390,269,12.3%,0,0,0,3763.61,867.24,2313.14,583.23,137,5.8%,0.55,78.9%,8607.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimir,OMG vs JD Gaming,OMG,1 - 2,JD Gaming,WEEK3,12.10,2022-06-20,1,369,TOP,2,4,1,0.8,213,7.7,9205,335,21.7%,0,0,0,9794.6,1108.94,7627.66,1058,356,24.2%,0.11,100%,19879.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,OMG vs JD Gaming,OMG,1 - 2,JD Gaming,WEEK3,12.10,2022-06-20,1,Kanavi,JUNGLE,0,1,2,2,186,6.8,8482,308,20%,0,0,0,4603.53,3868.39,381.64,353.5,167,11.4%,0.07,66.7%,21204.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,OMG vs JD Gaming,OMG,1 - 2,JD Gaming,WEEK3,12.10,2022-06-20,1,Yagao,MID,1,5,1,0.4,285,10.4,10790,392,25.4%,0,0,0,11846.36,518.77,11098.7,228.89,431,29.2%,0.07,66.7%,16096.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,OMG vs JD Gaming,OMG,1 - 2,JD Gaming,WEEK3,12.10,2022-06-20,1,Hope,ADC,0,5,1,0.2,225,8.2,8529,310,20.1%,0,0,0,12170.63,8622.06,3308.57,240,442,30%,0.04,33.3%,14807.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,OMG vs JD Gaming,OMG,1 - 2,JD Gaming,WEEK3,12.10,2022-06-20,1,Missing,SUPPORT,0,4,1,0.3,34,1.2,5455,198,12.8%,0,0,0,2093.03,49.57,2043.46,0,76,5.2%,0.04,33.3%,12598.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
