Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sejuani,OMG vs LGD Gaming,OMG,2 - 0,LGD Gaming,WEEK4,12.11,2022-06-27,1,shanji,TOP,0,1,13,13,223,7.2,10835,349,17.9%,0,0,0,13791.93,8004.58,5787.35,0,444,20.5%,0.42,76.5%,27556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,OMG vs LGD Gaming,OMG,2 - 0,LGD Gaming,WEEK4,12.11,2022-06-27,1,AKi,JUNGLE,3,1,9,12,197,6.3,11621,374,19.2%,0,0,0,6750.77,5733.3,733.47,284,217,10%,0.39,70.6%,22205.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viktor,OMG vs LGD Gaming,OMG,2 - 0,LGD Gaming,WEEK4,12.11,2022-06-27,1,Creme,MID,6,1,5,11,280,9,14492,467,24%,0,0,0,23948.79,69.62,23039.2,839.97,771,35.5%,0.35,64.7%,7898.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,OMG vs LGD Gaming,OMG,2 - 0,LGD Gaming,WEEK4,12.11,2022-06-27,1,Able,ADC,6,1,8,14,277,8.9,15542,501,25.7%,0,0,0,17835.58,5652.08,12183.5,0,574,26.5%,0.45,82.4%,10879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,OMG vs LGD Gaming,OMG,2 - 0,LGD Gaming,WEEK4,12.11,2022-06-27,1,cold,SUPPORT,2,1,11,13,29,0.9,7912,255,13.1%,0,0,0,5087.92,698.57,3757.66,631.69,164,7.5%,0.42,76.5%,10660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mordekaiser,OMG vs LGD Gaming,OMG,2 - 0,LGD Gaming,WEEK4,12.11,2022-06-27,1,fearness,TOP,2,4,2,1,277,8.9,11799,380,24%,0,0,0,15773.87,1487.86,12329.8,1956.21,508,31.9%,0.13,80%,23425.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,OMG vs LGD Gaming,OMG,2 - 0,LGD Gaming,WEEK4,12.11,2022-06-27,1,Shad0w,JUNGLE,0,1,3,3,166,5.3,8522,274,17.4%,0,0,0,3441.38,2880.68,430.74,129.96,111,7%,0.1,60%,22565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,OMG vs LGD Gaming,OMG,2 - 0,LGD Gaming,WEEK4,12.11,2022-06-27,1,Haichao,MID,2,4,1,0.8,255,8.2,10449,337,21.3%,0,0,0,12116.34,202.88,11542.8,370.66,390,24.5%,0.1,60%,16788.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,OMG vs LGD Gaming,OMG,2 - 0,LGD Gaming,WEEK4,12.11,2022-06-27,1,Assum,ADC,1,4,0,0.3,297,9.6,11950,385,24.3%,0,0,0,15821.36,13226.1,774.01,1821.25,510,32%,0.03,20%,12869.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,OMG vs LGD Gaming,OMG,2 - 0,LGD Gaming,WEEK4,12.11,2022-06-27,1,jinjiao,SUPPORT,0,4,2,0.5,37,1.2,6357,205,13%,0,0,0,2241.17,394.08,1527.09,320,72,4.5%,0.06,40%,14726.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
