Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Fiora,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,2,Ale,TOP,7,2,7,7,269,8,15322,456,22.6%,0,0,0,25188.4,14476.6,1998.41,8713.39,750,22.8%,0.42,66.7%,33065.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,2,Tarzan,JUNGLE,2,4,11,3.3,174,5.2,11235,335,16.6%,0,0,0,9311.51,6277.25,2352.21,682.05,277,8.4%,0.39,61.9%,40064.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,2,Doinb,MID,4,1,14,18,322,9.6,16396,488,24.2%,0,0,0,41048.9,4646.38,34209.2,2193.32,1222,37.2%,0.54,85.7%,16307.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,2,Light,ADC,8,0,8,Perfect KDA,350,10.4,16817,501,24.8%,0,0,0,28895.47,19057.8,7965.53,1872.14,860,26.2%,0.48,76.2%,15498.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,2,LvMao,SUPPORT,0,6,12,2,6,0.2,8039,239,11.9%,0,0,0,5876.18,525.33,4279.98,1070.87,175,5.3%,0.36,57.1%,13531.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sion,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,2,shanji,TOP,2,5,8,2,189,5.6,10904,325,19.5%,0,0,0,12448.92,9121.64,3321.52,5.76,371,15.4%,0.3,76.9%,36560.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,2,AKi,JUNGLE,1,4,6,1.8,168,5,10603,316,19%,0,0,0,12189.64,9155.58,818.38,2215.68,363,15.1%,0.21,53.8%,35648.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBlanc,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,2,Creme,MID,2,5,5,1.4,224,6.7,12134,361,21.7%,0,0,0,23813.46,2207.96,20563.5,1042,709,29.5%,0.21,53.8%,23785.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,2,Able,ADC,7,4,3,2.5,287,8.5,14078,419,25.2%,0,0,0,26265.18,24526.3,1206.88,532,782,32.6%,0.3,76.9%,17961.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,2,cold,SUPPORT,1,3,10,3.7,38,1.1,8196,244,14.7%,0,0,0,5892.7,806.54,3498.37,1587.79,175,7.3%,0.33,84.6%,17017.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
