Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,OMG vs Top Esports,OMG,1 - 2,Top Esports,WEEK6,12.12,2022-07-12,2,Wayward,TOP,1,1,4,5,233,9.1,10135,395,18.9%,0,0,0,12814.88,11063.9,1646.98,104,499,23.7%,0.19,31.3%,12993.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,OMG vs Top Esports,OMG,1 - 2,Top Esports,WEEK6,12.12,2022-07-12,2,Tian,JUNGLE,4,0,5,Perfect KDA,190,7.4,10636,414,19.8%,0,0,0,8089.42,6132.82,1602.99,353.61,315,15%,0.35,56.3%,22399.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viktor,OMG vs Top Esports,OMG,1 - 2,Top Esports,WEEK6,12.12,2022-07-12,2,Knight,MID,8,0,6,Perfect KDA,269,10.5,13591,530,25.3%,0,0,0,19025.39,158.84,18535.3,331.25,741,35.3%,0.55,87.5%,6373.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,OMG vs Top Esports,OMG,1 - 2,Top Esports,WEEK6,12.12,2022-07-12,2,JackeyLove,ADC,3,1,5,8,259,10.1,12073,470,22.5%,0,0,0,11562.23,5231.65,5850.58,480,450,21.4%,0.31,50%,6634.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,OMG vs Top Esports,OMG,1 - 2,Top Esports,WEEK6,12.12,2022-07-12,2,Mark,SUPPORT,0,0,15,Perfect KDA,25,1,7233,282,13.5%,0,0,0,2480.25,390.43,1657.82,432,97,4.6%,0.58,93.8%,7709.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sejuani,OMG vs Top Esports,OMG,1 - 2,Top Esports,WEEK6,12.12,2022-07-12,2,shanji,TOP,0,3,1,0.3,197,7.7,7864,306,19.9%,0,0,0,7408.83,3309,3579.83,520,289,27.2%,0.04,50%,18450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel,OMG vs Top Esports,OMG,1 - 2,Top Esports,WEEK6,12.12,2022-07-12,2,AKi,JUNGLE,0,2,0,0,134,5.2,7037,274,17.8%,0,0,0,940.79,300.72,380.19,259.88,37,3.5%,0,0%,14976.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,OMG vs Top Esports,OMG,1 - 2,Top Esports,WEEK6,12.12,2022-07-12,2,Creme,MID,1,2,0,0.5,233,9.1,9664,377,24.4%,0,0,0,12070.69,1460.68,10179,431.01,470,44.4%,0.04,50%,13136.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tristana,OMG vs Top Esports,OMG,1 - 2,Top Esports,WEEK6,12.12,2022-07-12,2,Able,ADC,1,4,0,0.3,220,8.6,9680,377,24.5%,0,0,0,4873.88,3457.95,1050.25,365.68,190,17.9%,0.04,50%,10636.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,OMG vs Top Esports,OMG,1 - 2,Top Esports,WEEK6,12.12,2022-07-12,2,cold,SUPPORT,0,5,2,0.4,29,1.1,5324,207,13.5%,0,0,0,1899.82,243.54,980.28,676,74,7%,0.08,100%,12037.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
