Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,OMG vs WBG,OMG,0 - 2,Weibo Gaming,WEEK7,12.13,2022-07-24,1,shanji,TOP,1,2,2,1.5,256,8.2,12322,396,23.6%,0,0,0,16505.51,10737.6,3479.6,2288.31,530,36.3%,0.1,100%,21641.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,OMG vs WBG,OMG,0 - 2,Weibo Gaming,WEEK7,12.13,2022-07-24,1,AKi,JUNGLE,0,2,2,1,175,5.6,8866,285,17%,0,0,0,2317.72,1879.51,166.21,272,74,5.1%,0.06,66.7%,20316.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viktor,OMG vs WBG,OMG,0 - 2,Weibo Gaming,WEEK7,12.13,2022-07-24,1,Creme,MID,1,1,2,3,290,9.3,12146,390,23.3%,0,0,0,18276.79,216,17111.2,949.59,587,40.2%,0.1,100%,6729.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,OMG vs WBG,OMG,0 - 2,Weibo Gaming,WEEK7,12.13,2022-07-24,1,Able,ADC,1,1,1,2,316,10.1,12655,406,24.2%,0,0,0,4982.5,4553.61,428.89,0,160,10.9%,0.06,66.7%,7609.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,OMG vs WBG,OMG,0 - 2,Weibo Gaming,WEEK7,12.13,2022-07-24,1,cold,SUPPORT,0,1,3,3,38,1.2,6205,199,11.9%,0,0,0,3433.6,344.75,2608.85,480,110,7.5%,0.1,100%,9747.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen,OMG vs WBG,OMG,0 - 2,Weibo Gaming,WEEK7,12.13,2022-07-24,1,TheShy,TOP,3,0,3,Perfect KDA,321,10.3,13956,448,24%,0,0,0,20284.16,1515.99,12933.6,5834.57,651,47.8%,0.19,85.7%,24550.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,OMG vs WBG,OMG,0 - 2,Weibo Gaming,WEEK7,12.13,2022-07-24,1,SofM,JUNGLE,1,1,3,4,159,5.1,9422,302,16.2%,0,0,0,3281.3,2718.12,426.2,136.98,105,7.7%,0.13,57.1%,15102.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,OMG vs WBG,OMG,0 - 2,Weibo Gaming,WEEK7,12.13,2022-07-24,1,Angel,MID,1,0,3,Perfect KDA,313,10,12674,407,21.8%,0,0,0,12234.15,193.45,11790.7,250,393,28.8%,0.13,57.1%,11542.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sivir,OMG vs WBG,OMG,0 - 2,Weibo Gaming,WEEK7,12.13,2022-07-24,1,huanfeng,ADC,1,0,4,Perfect KDA,391,12.6,14848,477,25.5%,0,0,0,4900.38,4900.38,0,0,157,11.5%,0.16,71.4%,8825.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,OMG vs WBG,OMG,0 - 2,Weibo Gaming,WEEK7,12.13,2022-07-24,1,ON,SUPPORT,1,2,3,2,35,1.1,7218,232,12.4%,0,0,0,1748.38,187.89,1310.49,250,56,4.1%,0.13,57.1%,10053.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
