Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sejuani,RNG vs EDG,Royal Never Give Up,2 - 1,Edward Gaming,WEEK7,12.13,2022-07-23,1,Breathe,TOP,1,3,4,1.7,197,7.5,9187,350,16.4%,0,0,0,9344.04,5639.72,3066.32,638,356,14%,0.19,20.8%,19761.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,RNG vs EDG,Royal Never Give Up,2 - 1,Edward Gaming,WEEK7,12.13,2022-07-23,1,Wei,JUNGLE,8,0,9,Perfect KDA,127,4.8,11537,439,20.5%,0,0,0,13184.43,10452.4,1567.03,1165,502,19.8%,0.65,70.8%,21774.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,RNG vs EDG,Royal Never Give Up,2 - 1,Edward Gaming,WEEK7,12.13,2022-07-23,1,xiaohu,MID,5,1,18,23,268,10.2,13623,519,24.3%,0,0,0,19200.24,1108.64,18091.6,0,731,28.8%,0.88,95.8%,9380.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,RNG vs EDG,Royal Never Give Up,2 - 1,Edward Gaming,WEEK7,12.13,2022-07-23,1,GALA,ADC,8,2,5,6.5,240,9.1,13306,507,23.7%,0,0,0,18787.71,12372.5,5709.17,706.04,715,28.2%,0.49,54.2%,12975.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,RNG vs EDG,Royal Never Give Up,2 - 1,Edward Gaming,WEEK7,12.13,2022-07-23,1,Ming,SUPPORT,2,0,18,Perfect KDA,15,0.6,8501,324,15.1%,0,0,0,6047.63,784.03,4913.6,350,230,9.1%,0.76,83.3%,6199.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,RNG vs EDG,Royal Never Give Up,2 - 1,Edward Gaming,WEEK7,12.13,2022-07-23,1,Flandre,TOP,1,3,3,1.3,218,8.3,10256,390,24%,0,0,0,12428.57,10935.9,1492.67,0,473,29.8%,0.15,66.7%,18772.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,RNG vs EDG,Royal Never Give Up,2 - 1,Edward Gaming,WEEK7,12.13,2022-07-23,1,Jiejie,JUNGLE,3,7,2,0.7,142,5.4,8170,311,19.2%,0,0,0,7050.75,6055.03,555.72,440,268,16.9%,0.19,83.3%,27276.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,RNG vs EDG,Royal Never Give Up,2 - 1,Edward Gaming,WEEK7,12.13,2022-07-23,1,Scout,MID,0,5,4,0.8,220,8.4,9010,343,21.1%,0,0,0,10212.63,35.13,10177.5,0,389,24.5%,0.15,66.7%,13177.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,RNG vs EDG,Royal Never Give Up,2 - 1,Edward Gaming,WEEK7,12.13,2022-07-23,1,Viper,ADC,2,4,2,1,218,8.3,9709,370,22.8%,0,0,0,9397.43,8753.4,644.03,0,358,22.5%,0.15,66.7%,12042.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,RNG vs EDG,Royal Never Give Up,2 - 1,Edward Gaming,WEEK7,12.13,2022-07-23,1,meiko,SUPPORT,0,5,3,0.6,36,1.4,5510,210,12.9%,0,0,0,2607.87,342.52,1755.35,510,99,6.3%,0.11,50%,13321.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
